"Source","Target","flights_count","flight_year"
"KMCI","KMSP","29.0","2019"
"LIME","ESKX","2.0","2019"
"EGGP","EHAM","15.0","2019"
"UUWW","LOWW","10.0","2019"
"KBDL","KDCA","2.0","2019"
"KLAS","KMDW","62.0","2019"
"3PN9","KIDI","3.0","2019"
"LFRS","LFKJ","3.0","2019"
"SBKP","EHAM","5.0","2019"
"71KY","CYHM","5.0","2019"
"0NJ5","JY24","1.0","2019"
"KBUY","NC31","1.0","2019"
"LFPG","KHHR","24.0","2019"
"LOWW","LIMC","44.0","2019"
"KCYS","TS53","1.0","2019"
"1AZ0","KIWA","4.0","2019"
"EDAM","LFPG","6.0","2019"
"KDEN","KLAS","125.0","2019"
"KMKC","37MO","1.0","2019"
"LOWW","EGKK","27.0","2019"
"EDDT","LFPB","1.0","2019"
"KORD","K9X1","26.0","2019"
"EGLL","KSJC","6.0","2019"
"71KY","RKSI","7.0","2019"
"LPPT","LFBO","5.0","2019"
"KEMT","KSAN","1.0","2019"
"CYYZ","CYOS","1.0","2019"
"CYUL","CYTZ","12.0","2019"
"LKJI","LKKU","1.0","2019"
"LPPT","EGSS","20.0","2019"
"KHEF","KLGA","1.0","2019"
"EGGW","LSZH","16.0","2019"
"KSQL","KCRQ","2.0","2019"
"7KS6","KK81","1.0","2019"
"RKSI","LKKL","6.0","2019"
"LPFR","EGAC","3.0","2019"
"EHAM","LOWS","5.0","2019"
"LFMN","LFPO","3.0","2019"
"KDVT","36AZ","5.0","2019"
"KMSP","5LL5","2.0","2019"
"OTHH","KDFW","5.0","2019"
"EGJB","EGGW","1.0","2019"
"KBFI","KSTS","1.0","2019"
"LLSD","LLYT","5.0","2019"
"KGRB","KORD","39.0","2019"
"EDDF","EDFM","2.0","2019"
"KTPA","KBQR","1.0","2019"
"ESGG","LDSP","2.0","2019"
"02FA","FL16","1.0","2019"
"OMDB","LIRF","21.0","2019"
"K9D9","KGIF","1.0","2019"
"WIII","OMDB","2.0","2019"
"EHAM","LFML","8.0","2019"
"UAAA","LTBW","2.0","2019"
"KHWO","KFXE","6.0","2019"
"KOSU","9IN9","1.0","2019"
"NY24","8FA4","1.0","2019"
"12AZ","KDVT","4.0","2019"
"KW32","2VA6","1.0","2019"
"KLBB","58TE","3.0","2019"
"KRDD","KVGT","1.0","2019"
"VHHH","71KY","1.0","2019"
"KLGA","KBCT","1.0","2019"
"KIAD","2VG7","3.0","2019"
"KDFW","PANC","14.0","2019"
"KHMT","KHMT","37.0","2019"
"BIKF","KTEB","2.0","2019"
"KMRY","54AZ","1.0","2019"
"KOKC","KLAS","2.0","2019"
"KLNA","KBCT","4.0","2019"
"KKIC","KRHV","2.0","2019"
"KPHX","CYVR","19.0","2019"
"KMKE","WS17","1.0","2019"
"05OK","TX13","1.0","2019"
"KSTL","01LL","4.0","2019"
"63FD","FL66","1.0","2019"
"KDTW","KHHR","5.0","2019"
"33NY","33NY","1.0","2019"
"K2J2","1GA0","1.0","2019"
"LFPO","LFFI","10.0","2019"
"NY17","KSLK","1.0","2019"
"CAT4","CYCD","3.0","2019"
"SAEZ","MMMX","9.0","2019"
"KGAI","KTEB","2.0","2019"
"EBBR","ESSB","19.0","2019"
"KENW","7MI2","1.0","2019"
"KCTY","KX35","1.0","2019"
"KCLE","KBWI","6.0","2019"
"KRDK","KCBF","1.0","2019"
"0OK6","KTIK","3.0","2019"
"ESSA","EBBR","6.0","2019"
"26AZ","2AZ3","1.0","2019"
"KARB","MI29","1.0","2019"
"PAEN","3AK5","10.0","2019"
"CYXX","CYHM","9.0","2019"
"KMSN","KJVL","3.0","2019"
"ENGM","LSZH","7.0","2019"
"4TA6","K5C1","1.0","2019"
"EHEH","EPMO","4.0","2019"
"KOSH","KOSH","34.0","2019"
"LOWW","LKPR","4.0","2019"
"LEMT","LEMD","1.0","2019"
"KSAN","CYYZ","6.0","2019"
"KMCO","KHWO","8.0","2019"
"KDTW","OH68","1.0","2019"
"NZMA","NZKE","1.0","2019"
"KJFK","KBKL","11.0","2019"
"EGNX","LEAL","22.0","2019"
"LEBL","EITM","1.0","2019"
"KALB","KIND","1.0","2019"
"KSEA","RCPO","2.0","2019"
"KDVT","AZ71","1.0","2019"
"KUMP","II65","1.0","2019"
"LEMP","EGSS","5.0","2019"
"5TX9","6TX2","1.0","2019"
"K63M","KMO6","1.0","2019"
"EGLL","LIPM","5.0","2019"
"KDFW","83OK","1.0","2019"
"02XS","85TX","1.0","2019"
"NJ75","KTTN","1.0","2019"
"LCLK","LLBG","4.0","2019"
"VA97","KHEF","1.0","2019"
"KALN","90KS","1.0","2019"
"EPWR","LEMU","1.0","2019"
"KFES","27LL","1.0","2019"
"DAAG","LSZM","1.0","2019"
"KPYM","26MA","1.0","2019"
"4FD7","FL57","1.0","2019"
"LIMC","LSZV","1.0","2019"
"YBCG","YRED","1.0","2019"
"LPPT","LFRS","2.0","2019"
"KTYR","KTKI","1.0","2019"
"KVGT","KHWD","1.0","2019"
"KSNA","KCOS","1.0","2019"
"EDDF","LKVO","1.0","2019"
"ZBAA","CYUL","1.0","2019"
"KLAX","71MI","1.0","2019"
"KDAB","3FD6","1.0","2019"
"LFFD","LFXU","1.0","2019"
"KLHM","KPAO","4.0","2019"
"6TA3","KFTW","2.0","2019"
"KT82","KDAL","1.0","2019"
"K3K6","KK02","1.0","2019"
"KHPN","EBBR","1.0","2019"
"K44N","KMMK","1.0","2019"
"K2W5","85LL","1.0","2019"
"LIMC","LIRH","1.0","2019"
"SN59","00KS","6.0","2019"
"LGRP","EFPI","1.0","2019"
"KSAV","KMDW","2.0","2019"
"EDDK","EDCW","1.0","2019"
"EGBW","EGTD","1.0","2019"
"7WI8","32WN","1.0","2019"
"KSTL","MU65","1.0","2019"
"KDFW","1TE4","1.0","2019"
"KOJC","KATW","2.0","2019"
"ELLX","LTBW","2.0","2019"
"KPVU","KOAK","1.0","2019"
"EDME","EDNK","2.0","2019"
"1OR4","WT44","1.0","2019"
"EDDH","LEMG","4.0","2019"
"KMSN","KTPA","1.0","2019"
"KSTP","KSNS","1.0","2019"
"KAFW","TA19","1.0","2019"
"KPHX","60AZ","1.0","2019"
"KLGA","KSFM","1.0","2019"
"KHPN","PN66","1.0","2019"
"SBGR","SWRM","1.0","2019"
"86NC","KMCZ","1.0","2019"
"AL16","AL72","1.0","2019"
"KLGA","2GA2","1.0","2019"
"KPCM","59FD","1.0","2019"
"ESKN","LDRG","2.0","2019"
"KHWD","KLHM","2.0","2019"
"LPAR","LOWW","2.0","2019"
"EHAM","35MN","1.0","2019"
"KMJX","KOXC","1.0","2019"
"KHPN","KBUF","1.0","2019"
"KDOV","EDFH","1.0","2019"
"LEPA","LEMD","1.0","2019"
"KEFT","LL78","1.0","2019"
"EHGG","EHGG","3.0","2019"
"PANC","OL99","1.0","2019"
"YSCN","YBTH","1.0","2019"
"11TX","KTKI","1.0","2019"
"KHOU","KHLG","1.0","2019"
"K1O3","KSNS","1.0","2019"
"47PA","KHFF","1.0","2019"
"YWLX","YSBK","1.0","2019"
"LFOB","LILV","1.0","2019"
"LFTW","EGSS","1.0","2019"
"KBJC","63CN","1.0","2019"
"YBBN","YSBK","3.0","2019"
"KHPN","5CT7","1.0","2019"
"8NC8","4NC7","1.0","2019"
"SC14","SC07","2.0","2019"
"MD56","4FL8","1.0","2019"
"VA97","KCXY","1.0","2019"
"KJWN","KFNL","1.0","2019"
"KPVW","KABY","1.0","2019"
"LIMB","LIPL","1.0","2019"
"KMEY","KY43","1.0","2019"
"RJOO","RJBT","2.0","2019"
"EHEH","LD57","1.0","2019"
"2IN0","09FL","1.0","2019"
"UNBB","ULLI","1.0","2019"
"KIWA","KFTW","1.0","2019"
"ESOW","ESSB","1.0","2019"
"61NC","32NC","1.0","2019"
"KT67","3TA7","1.0","2019"
"KADS","TA30","1.0","2019"
"KBUF","KUES","1.0","2019"
"KPHL","0NK9","1.0","2019"
"LSZM","LWSK","1.0","2019"
"0CA3","KSNA","1.0","2019"
"KJYO","KEZF","2.0","2019"
"CYMX","CSK5","1.0","2019"
"KBVS","KTUS","1.0","2019"
"KCOS","WY45","1.0","2019"
"IS01","KALN","1.0","2019"
"KOSH","WS09","1.0","2019"
"KDAL","0WI6","1.0","2019"
"EBBR","LICJ","2.0","2019"
"KTUS","KSDM","1.0","2019"
"KMPI","KMCE","2.0","2019"
"NK19","FL35","1.0","2019"
"61NJ","K17N","1.0","2019"
"K2B3","KRUT","1.0","2019"
"NE82","97IA","1.0","2019"
"LIPZ","ESSB","1.0","2019"
"KSAT","7TA5","1.0","2019"
"05MD","2PS3","1.0","2019"
"KOMA","LL51","1.0","2019"
"LFPB","EDLN","1.0","2019"
"LOWW","LPPS","1.0","2019"
"KTEB","KSTS","1.0","2019"
"KPAO","KMOD","2.0","2019"
"EDML","EDNX","1.0","2019"
"EDVE","EPPO","2.0","2019"
"EDFD","EDFU","1.0","2019"
"K3C8","KTEB","1.0","2019"
"KJWN","KAPA","1.0","2019"
"EPMO","EGAD","1.0","2019"
"KCVG","CYHM","1.0","2019"
"KPWK","KCRQ","1.0","2019"
"MA70","KRDU","1.0","2019"
"KRNO","KSAC","1.0","2019"
"KMSN","KMDW","1.0","2019"
"NJ72","KEWR","1.0","2019"
"EDHI","EDXJ","1.0","2019"
"10FD","FD50","1.0","2019"
"AZ64","KPHX","1.0","2019"
"NK19","KORD","1.0","2019"
"LFPG","LMML","1.0","2019"
"09FA","0FL0","1.0","2019"
"EDMO","EGLC","1.0","2019"
"KEWR","KLBE","1.0","2019"
"KSJT","KT88","1.0","2019"
"4IN9","29IN","1.0","2019"
"KPWK","KC29","1.0","2019"
"NJ25","NJ64","1.0","2019"
"9NC9","15VA","1.0","2019"
"WBKK","YPPH","1.0","2019"
"SUBL","SABE","1.0","2019"
"KIAD","KFTG","1.0","2019"
"KEMT","KCRQ","1.0","2019"
"KOSU","KLAF","1.0","2019"
"KHEF","OG34","1.0","2019"
"KTPA","KTPA","1.0","2019"
"KO37","90CL","1.0","2019"
"ESVB","ESSW","1.0","2019"
"KLNN","1II8","1.0","2019"
"ESSV","ESSN","1.0","2019"
"KPSP","GA53","1.0","2019"
"KNYL","EGVN","1.0","2019"
"KBOS","KLGB","1.0","2019"
"LOWG","LGIR","1.0","2019"
"LSZH","LTBU","1.0","2019"
"EGNM","EIDW","10.0","2019"
"CYUL","EHAM","5.0","2019"
"EKCH","EGCC","28.0","2019"
"EHAM","LOWW","62.0","2019"
"LIPZ","LIRA","5.0","2019"
"KGLE","KT67","1.0","2019"
"LIMC","EDDT","13.0","2019"
"EGKR","EGKR","42.0","2019"
"LIRF","LEMG","10.0","2019"
"KPAE","KLUK","1.0","2019"
"KSYR","81GA","1.0","2019"
"KLAX","CYVR","57.0","2019"
"OA16","KEWR","6.0","2019"
"KDAL","KSTL","34.0","2019"
"LIPH","LROP","7.0","2019"
"OLBA","LFPG","16.0","2019"
"KRDU","KRDU","25.0","2019"
"BIKF","EDDT","7.0","2019"
"KFLL","KIND","12.0","2019"
"EGLL","LEMG","4.0","2019"
"EDDK","EDDB","12.0","2019"
"RJOO","RJTK","40.0","2019"
"38MO","KSTL","7.0","2019"
"LOLW","LOLU","5.0","2019"
"KDEN","KBNA","40.0","2019"
"LPPT","EPWA","9.0","2019"
"KTEX","KLAX","1.0","2019"
"ESNU","ESPA","2.0","2019"
"NV17","KRNO","4.0","2019"
"EDDK","EDRN","1.0","2019"
"ESGG","LPFR","1.0","2019"
"KHUA","KMDQ","5.0","2019"
"0CA5","37CA","1.0","2019"
"LEBL","EFHK","17.0","2019"
"KU42","KSAN","17.0","2019"
"KOPF","KNBG","2.0","2019"
"EDNY","EDNY","7.0","2019"
"K61B","K1G4","35.0","2019"
"KDEN","K9X1","17.0","2019"
"K7F3","KADS","8.0","2019"
"SAEZ","EDDF","7.0","2019"
"KLDJ","KLDJ","20.0","2019"
"EHTL","EHDL","1.0","2019"
"KVUO","KTTD","1.0","2019"
"KCWA","KORD","6.0","2019"
"KOWD","K1B6","1.0","2019"
"LEBL","LGSR","2.0","2019"
"KEWR","KFLL","18.0","2019"
"EGLL","FAGM","7.0","2019"
"NC03","K27A","1.0","2019"
"FAGM","KIAD","2.0","2019"
"KONT","KAJO","1.0","2019"
"KMDW","KMKC","6.0","2019"
"VHHH","PANC","25.0","2019"
"KPVU","KTUS","2.0","2019"
"KFXE","KALB","1.0","2019"
"KLAX","KDFW","128.0","2019"
"EBBR","EDDH","17.0","2019"
"KAPA","CO59","1.0","2019"
"EGLL","EGAC","22.0","2019"
"SAEZ","SBMT","1.0","2019"
"LSZI","EDTF","1.0","2019"
"EGKB","EGLD","2.0","2019"
"KFCM","KSGR","1.0","2019"
"01NH","VT55","1.0","2019"
"EDDF","KSFB","1.0","2019"
"KPMP","KDTW","2.0","2019"
"KBOS","KSAN","3.0","2019"
"EDTZ","EDTZ","5.0","2019"
"KIND","KTPA","6.0","2019"
"YSBK","YWVA","5.0","2019"
"EVRA","EDDL","6.0","2019"
"CYVR","KDWH","3.0","2019"
"KPBI","KDEN","1.0","2019"
"NZWP","NZWJ","6.0","2019"
"EGAA","LPFR","8.0","2019"
"EGLL","KDWH","4.0","2019"
"LSZH","LSGS","1.0","2019"
"KLDJ","K47N","2.0","2019"
"KWLW","KO88","1.0","2019"
"K61B","KCHD","1.0","2019"
"KBOS","KTIK","1.0","2019"
"KBCT","KLAL","3.0","2019"
"EDDL","LFFE","1.0","2019"
"ULLI","ZBAA","1.0","2019"
"LSGG","LEMG","9.0","2019"
"66FD","6FL4","6.0","2019"
"76II","76II","4.0","2019"
"MI77","KMKE","1.0","2019"
"LFBO","EDDT","4.0","2019"
"KCLE","KTPA","4.0","2019"
"LSGG","EKCH","10.0","2019"
"KFCM","MY97","1.0","2019"
"10FA","KLAL","2.0","2019"
"KIWA","IG07","1.0","2019"
"4II2","KBNA","1.0","2019"
"KFXE","KAUS","3.0","2019"
"MA07","72GA","1.0","2019"
"SBMT","SDYJ","1.0","2019"
"KGRK","KDFW","35.0","2019"
"OTBD","EGLL","17.0","2019"
"3VA5","KJYO","2.0","2019"
"KRDU","KSFO","16.0","2019"
"UUWW","OMDB","15.0","2019"
"71NC","KGNV","1.0","2019"
"KISM","MMMX","6.0","2019"
"WMKK","UUEE","1.0","2019"
"KSNA","KSTS","5.0","2019"
"KBKL","KUMP","1.0","2019"
"KORL","MA64","3.0","2019"
"EFHK","LKSN","5.0","2019"
"EGCN","LHBP","2.0","2019"
"14AZ","14AZ","1.0","2019"
"KFTW","KADS","2.0","2019"
"KBOS","GA35","1.0","2019"
"KMHR","KHHR","1.0","2019"
"KSQL","KTRK","5.0","2019"
"KTKI","TX45","1.0","2019"
"EDDF","LIPQ","3.0","2019"
"KBDR","PA35","1.0","2019"
"KPBI","KBOS","8.0","2019"
"CYUL","LPPT","1.0","2019"
"73MU","KUIN","1.0","2019"
"RPLL","KSQL","2.0","2019"
"LSGG","EGMC","5.0","2019"
"LFPB","LSZA","1.0","2019"
"LSZM","LSZJ","1.0","2019"
"UT10","UT08","1.0","2019"
"YSBK","YMEN","2.0","2019"
"71KY","KDWH","1.0","2019"
"KRDU","KVUJ","2.0","2019"
"FA83","KX04","1.0","2019"
"FAGM","FABA","1.0","2019"
"KPHL","01FA","5.0","2019"
"KHWD","KTRK","4.0","2019"
"YBLT","YMAY","2.0","2019"
"KCOS","KRIR","3.0","2019"
"CYYZ","KFME","1.0","2019"
"KAWO","KPAE","9.0","2019"
"KRFD","KOAK","4.0","2019"
"4TX8","0TS7","1.0","2019"
"SC78","KAJR","1.0","2019"
"KESN","KFME","2.0","2019"
"KTTN","KHWV","1.0","2019"
"OMAA","OMDB","1.0","2019"
"KLXT","KK81","1.0","2019"
"82WI","KMTW","1.0","2019"
"EGCN","EVRA","1.0","2019"
"KOAK","KBKL","1.0","2019"
"KPHX","KMCF","4.0","2019"
"KDTW","11NY","2.0","2019"
"EGNX","LFLB","1.0","2019"
"EDNX","EDNZ","1.0","2019"
"0WI2","WI95","1.0","2019"
"KADS","86TA","3.0","2019"
"LYBE","EGNX","1.0","2019"
"KCDW","K4B8","3.0","2019"
"KIAH","FD83","4.0","2019"
"OMDW","EDDT","1.0","2019"
"3PA0","40ME","1.0","2019"
"37TE","TA25","1.0","2019"
"AZ60","KMCE","1.0","2019"
"EDDP","EKVD","3.0","2019"
"KSMO","1AZ2","1.0","2019"
"EIDW","YSSY","1.0","2019"
"OMAA","EGLL","4.0","2019"
"LRBS","LKBU","1.0","2019"
"8TX7","K7T7","1.0","2019"
"KHWO","KEWR","5.0","2019"
"KFRG","KBCT","4.0","2019"
"KMTN","9VG9","1.0","2019"
"1OH2","OI45","1.0","2019"
"PABG","PANC","3.0","2019"
"KHSD","KVDF","1.0","2019"
"LSZK","LSZK","7.0","2019"
"SBKP","GOBD","4.0","2019"
"EDDS","LICZ","2.0","2019"
"KPNE","KHWV","1.0","2019"
"08VA","KTOC","1.0","2019"
"OERK","KIAD","3.0","2019"
"KTYQ","KMDW","1.0","2019"
"KSJT","13TX","1.0","2019"
"KDDC","KDHT","1.0","2019"
"MO11","KFKR","1.0","2019"
"KDVT","KCMR","5.0","2019"
"EVRA","LKPR","2.0","2019"
"KFFZ","0AZ5","3.0","2019"
"LSME","LSZF","1.0","2019"
"7MD8","3MD8","4.0","2019"
"LKSZ","LKVO","1.0","2019"
"YMEN","YORB","3.0","2019"
"KMKE","KSDL","3.0","2019"
"IS40","CYUL","1.0","2019"
"LEMD","LBSF","3.0","2019"
"LIRF","KIAD","7.0","2019"
"EBBR","UKBB","11.0","2019"
"KMIC","37MN","1.0","2019"
"EDDF","WSAP","4.0","2019"
"KRDU","KEYQ","1.0","2019"
