"Source","Target","flights_count","flight_year"
"KVNY","KWHP","12.0","2019"
"EDDM","LFMY","8.0","2019"
"CYYZ","KM33","1.0","2019"
"VHHH","RCTP","74.0","2019"
"36AZ","KIWA","58.0","2019"
"FARA","VHSK","2.0","2019"
"OMDW","EKCH","1.0","2019"
"BIKF","ENKJ","12.0","2019"
"2PA0","KABE","1.0","2019"
"6GA0","KMGE","1.0","2019"
"EGGP","EICK","4.0","2019"
"EDTQ","EDTQ","3.0","2019"
"EGLL","LETO","1.0","2019"
"LFPG","KCLT","7.0","2019"
"KPHX","KDVT","10.0","2019"
"KRDU","KTPA","5.0","2019"
"KFOK","KTTN","3.0","2019"
"KSNA","KPOC","2.0","2019"
"KMSP","KDCA","48.0","2019"
"KTEB","KRDG","5.0","2019"
"EBBR","LFML","7.0","2019"
"K2W6","6VA4","1.0","2019"
"KONT","KMYF","3.0","2019"
"KLAX","LIRF","8.0","2019"
"EDDF","EBMB","31.0","2019"
"LSZM","EGLL","26.0","2019"
"VTBS","RPLL","1.0","2019"
"LIME","EDDN","6.0","2019"
"EGGW","LBSF","4.0","2019"
"KM91","96FL","1.0","2019"
"KCLT","KIAD","31.0","2019"
"KBMI","KSUS","1.0","2019"
"EFMA","ESSA","11.0","2019"
"XS89","TE33","1.0","2019"
"SBKP","SWJX","14.0","2019"
"EDVM","EDWH","1.0","2019"
"LIMC","EDDS","6.0","2019"
"RKSI","KMSP","5.0","2019"
"OERY","OBKH","1.0","2019"
"KBTA","KJFX","1.0","2019"
"KSTL","KCUL","5.0","2019"
"KBLM","KAFJ","1.0","2019"
"OH95","2OA7","1.0","2019"
"KCLT","0GE0","2.0","2019"
"KCRQ","KVNY","6.0","2019"
"K8A1","K8A1","1.0","2019"
"UUEE","ULLI","97.0","2019"
"LIRA","LFOB","7.0","2019"
"SPST","SLLP","1.0","2019"
"LOGW","LOGF","1.0","2019"
"KEWR","EIDW","9.0","2019"
"UUEE","EDDV","7.0","2019"
"RPLX","RPLL","1.0","2019"
"EDDF","EIWT","13.0","2019"
"KDEN","BIKF","7.0","2019"
"KSTP","MY15","2.0","2019"
"KAPC","KVCB","1.0","2019"
"YBLT","YRAG","1.0","2019"
"ETSH","EDOD","2.0","2019"
"KSNA","CYVR","5.0","2019"
"KCPT","KSJT","1.0","2019"
"LEAL","LSGG","4.0","2019"
"KMSP","0GE0","16.0","2019"
"KWHP","KWHP","63.0","2019"
"KBUF","KMDW","9.0","2019"
"EPPK","EPZB","1.0","2019"
"KHLM","4IS8","1.0","2019"
"EDCT","OMDW","2.0","2019"
"KT54","1TS3","1.0","2019"
"KBVI","KPJC","2.0","2019"
"SBSP","SNEJ","1.0","2019"
"LSGS","LSGB","1.0","2019"
"KIAH","KPDX","5.0","2019"
"KBAK","90IN","2.0","2019"
"K2W6","3MD8","6.0","2019"
"LIME","LKCM","1.0","2019"
"KFTW","99XS","2.0","2019"
"RJBB","KSEA","5.0","2019"
"LIME","LIRP","1.0","2019"
"KPHX","KLDJ","25.0","2019"
"BKPR","LSGG","1.0","2019"
"MD04","KADW","1.0","2019"
"EHAM","KHHR","15.0","2019"
"EKAH","EKSS","1.0","2019"
"KPUB","KDEN","7.0","2019"
"KGRB","4LL3","1.0","2019"
"EGSC","LIML","1.0","2019"
"SC75","K47A","1.0","2019"
"KSJC","KSMF","3.0","2019"
"EKSP","EDXJ","1.0","2019"
"KSAN","KSNS","4.0","2019"
"67NJ","67NJ","1.0","2019"
"9IN9","KBFR","1.0","2019"
"EDJA","LPFR","3.0","2019"
"KGTU","TX61","1.0","2019"
"EGLL","EGNM","4.0","2019"
"EDGK","EDKI","1.0","2019"
"KHWO","MA19","1.0","2019"
"KORD","4NY4","2.0","2019"
"YSSY","YLIS","1.0","2019"
"KGAI","KMDW","1.0","2019"
"ETNW","LEMD","1.0","2019"
"KDEN","KH92","2.0","2019"
"KMDT","LL78","1.0","2019"
"OI62","K2G1","1.0","2019"
"9PA2","PN66","1.0","2019"
"KOAK","KEWR","7.0","2019"
"KVBT","21MU","1.0","2019"
"2PN5","77PA","1.0","2019"
"LFPG","VHSK","5.0","2019"
"EGGP","LFPB","2.0","2019"
"EDDV","EDDG","1.0","2019"
"EDSZ","EDTY","1.0","2019"
"K1T7","4XS6","1.0","2019"
"KCAE","KXNO","2.0","2019"
"KLUK","KBED","1.0","2019"
"EGKK","57FA","1.0","2019"
"KJFK","5CT5","1.0","2019"
"KDCA","TX05","2.0","2019"
"6OI5","KOSU","1.0","2019"
"EDDM","LIDW","1.0","2019"
"KTIP","LL10","1.0","2019"
"KSCK","11CA","1.0","2019"
"EPOM","EPKW","1.0","2019"
"KZPH","KBKV","1.0","2019"
"EGTD","EGBW","1.0","2019"
"KSLG","05AR","1.0","2019"
"OMDB","FARA","10.0","2019"
"5MD8","KEDG","1.0","2019"
"KP19","KCGZ","5.0","2019"
"FD81","9FD7","1.0","2019"
"02AK","PAED","1.0","2019"
"LFLL","EBLG","5.0","2019"
"40XS","K3R9","1.0","2019"
"LDSR","EHAM","3.0","2019"
"LIRP","EBMB","1.0","2019"
"SC86","SC34","1.0","2019"
"LFPN","LFMP","1.0","2019"
"LIPZ","LFBD","5.0","2019"
"ENNM","ENVA","1.0","2019"
"KAUS","KTPA","2.0","2019"
"KBOS","LFPG","6.0","2019"
"YBCG","YBMC","1.0","2019"
"LIRA","LPAR","8.0","2019"
"EDDF","EDRY","1.0","2019"
"YBSS","YGLG","1.0","2019"
"EBMB","EDAM","4.0","2019"
"KRUT","NH38","1.0","2019"
"LSZH","BKPR","2.0","2019"
"OETH","EDDF","2.0","2019"
"KPWT","KPAE","1.0","2019"
"0CO6","CD97","1.0","2019"
"KCOS","KMKC","1.0","2019"
"YMML","YMAY","16.0","2019"
"KHSD","KGLE","1.0","2019"
"KLSV","MD39","1.0","2019"
"FD04","KX04","1.0","2019"
"EBOS","EHMZ","1.0","2019"
"KCLT","84NY","1.0","2019"
"89NJ","KBLM","1.0","2019"
"K2W6","KESN","1.0","2019"
"LEAL","LEBB","2.0","2019"
"LSGG","ENSI","2.0","2019"
"KFFZ","4AZ8","3.0","2019"
"LFMU","EDLV","1.0","2019"
"KFRG","KENW","1.0","2019"
"KCMA","KBUR","6.0","2019"
"KMDW","9WS2","1.0","2019"
"KDAL","K24R","1.0","2019"
"OMDW","LTBW","1.0","2019"
"CSN7","CYUL","1.0","2019"
"MD56","PA51","1.0","2019"
"KIND","FA40","1.0","2019"
"KSUS","2IL7","1.0","2019"
"YBFT","YBFT","1.0","2019"
"KIBM","KFMM","1.0","2019"
"KFCM","9MN1","1.0","2019"
"KCOS","KSAT","1.0","2019"
"KSDL","2AZ7","1.0","2019"
"KLGA","K4B8","2.0","2019"
"LZNI","LZIB","1.0","2019"
"KHWD","KPAO","1.0","2019"
"LGAV","LTBW","1.0","2019"
"EDDS","EDDG","1.0","2019"
"1TE8","KT85","1.0","2019"
"EGLF","LFMV","1.0","2019"
"KBLM","KHVN","1.0","2019"
"KBMI","0GE0","1.0","2019"
"2OL2","2OL2","1.0","2019"
"KIND","KOSU","1.0","2019"
"4XA3","TX11","1.0","2019"
"KCMH","KHLG","1.0","2019"
"89TX","KILE","1.0","2019"
"KMMU","KBLM","1.0","2019"
"KORD","KFLD","1.0","2019"
"OR41","KFNL","1.0","2019"
"61IN","KLAF","1.0","2019"
"EDDP","71KY","1.0","2019"
"KDVT","KE67","1.0","2019"
"EGPK","LIRP","1.0","2019"
"EDDG","EDDL","1.0","2019"
"CYKZ","CYSN","1.0","2019"
"LIBD","LIRP","3.0","2019"
"KLHW","KSVN","1.0","2019"
"K2O6","KSAC","1.0","2019"
"LIPZ","ENKJ","1.0","2019"
"KHFJ","KJWN","2.0","2019"
"KANE","KMDW","1.0","2019"
"KLNC","KHQZ","1.0","2019"
"KUKT","KSFZ","1.0","2019"
"WN75","KGRB","1.0","2019"
"K17N","K17N","2.0","2019"
"KLVK","KWVI","2.0","2019"
"NE69","NE69","4.0","2019"
"KVGT","KRHV","1.0","2019"
"KE16","KLGB","1.0","2019"
"KMZJ","KCHD","1.0","2019"
"CYKZ","CNA3","1.0","2019"
"KVDF","21FL","1.0","2019"
"KSUS","OA16","1.0","2019"
"33CA","2CN8","1.0","2019"
"KLAX","WIDD","1.0","2019"
"SBKP","SDRD","2.0","2019"
"KALN","KTIK","1.0","2019"
"PN16","PN43","1.0","2019"
"SC82","FL66","1.0","2019"
"YWOL","YSCN","2.0","2019"
"LIRF","OMDM","1.0","2019"
"KCGS","6GA0","1.0","2019"
"EPBC","EPSY","1.0","2019"
"KX58","KHWO","1.0","2019"
"CYKF","CTH8","1.0","2019"
"0KS2","KMKC","1.0","2019"
"K1B6","K1B9","2.0","2019"
"KTYQ","95IN","1.0","2019"
"SJQT","SBGR","1.0","2019"
"EDCD","EDOQ","1.0","2019"
"KMCI","1XS1","1.0","2019"
"KMCO","KMIA","1.0","2019"
"KMSP","95FD","1.0","2019"
"KSGR","KABE","1.0","2019"
"KJYO","3NJ6","1.0","2019"
"LFBD","LSZG","1.0","2019"
"11TX","0TX0","1.0","2019"
"EDXE","EDLS","1.0","2019"
"56WI","KORD","1.0","2019"
"EGSS","LFDH","1.0","2019"
"XA65","KADS","1.0","2019"
"KFWA","KCLT","1.0","2019"
"38NY","KBWI","1.0","2019"
"8MA4","KN89","1.0","2019"
"LFMV","EBMB","1.0","2019"
"RJTT","RJOA","62.0","2019"
"KJFK","EDDM","6.0","2019"
"EGPH","KJFK","7.0","2019"
"KCLI","KGRB","3.0","2019"
"EPWA","LOWW","21.0","2019"
"KBFI","KSFO","6.0","2019"
"KLAF","62IS","3.0","2019"
"KAPA","KPWK","2.0","2019"
"KBFI","KNZY","1.0","2019"
"KBOS","KPHL","50.0","2019"
"KHOU","84TX","1.0","2019"
"OBBI","VABB","13.0","2019"
"KSQL","CA04","1.0","2019"
"EGPF","EGLL","62.0","2019"
"RJBB","RJOM","6.0","2019"
"KE95","KDMA","4.0","2019"
"KJFK","EGLL","136.0","2019"
"KEWR","82PA","8.0","2019"
