"Source","Target","flights_count","flight_year"
"PA68","NJ98","1.0","2020"
"62OH","KDEC","1.0","2020"
"63GA","6GA4","1.0","2020"
"KLXT","KLRY","1.0","2020"
"KPTK","KMCF","1.0","2020"
"KPNE","PA88","1.0","2020"
"KEDC","KHYI","1.0","2020"
"EDFE","EDDM","1.0","2020"
"KISM","KDTW","1.0","2020"
"1OH8","KMGY","1.0","2020"
"7TE7","92TA","1.0","2020"
"OK94","03OK","1.0","2020"
"KTYS","KBUF","1.0","2020"
"KDWH","08XS","1.0","2020"
"EDDF","EDDS","1.0","2020"
"VA95","KCHO","1.0","2020"
"SBGR","SBSP","1.0","2020"
"KMDW","FL47","1.0","2020"
"KSJC","08CL","1.0","2020"
"KTOP","KLWC","1.0","2020"
"KSUU","KU42","1.0","2020"
"KACY","KILG","1.0","2020"
"KF72","KF72","1.0","2020"
"KSAT","3TA5","1.0","2020"
"K0W3","KBWI","1.0","2020"
"KAUN","9CL7","1.0","2020"
"KTAZ","KMKC","1.0","2020"
"EGGW","EGTK","1.0","2020"
"KFAT","37CN","1.0","2020"
"3TX2","3TX2","1.0","2020"
"EDVK","EDVI","1.0","2020"
"KHWV","CYYZ","1.0","2020"
"LKKB","OMDW","1.0","2020"
"KN03","KITH","1.0","2020"
"EDDG","EDWC","1.0","2020"
"KSMF","02XS","1.0","2020"
"KTHV","KSWF","1.0","2020"
"KDKK","35NY","1.0","2020"
"KPTK","6NY3","1.0","2020"
"EGSS","LZIB","1.0","2020"
"EDMA","EDPR","1.0","2020"
"IN51","KC62","1.0","2020"
"KGDJ","6TA7","1.0","2020"
"ULLI","ULLI","1.0","2020"
"KMSP","KCVG","22.0","2020"
"KBJC","KDAL","4.0","2020"
"KSMF","KDEN","15.0","2020"
"KUMP","AL18","1.0","2020"
"LFOE","LFOE","1.0","2020"
"KPMV","KICL","1.0","2020"
"KIFA","IA17","1.0","2020"
"RJTT","RJBB","70.0","2020"
"NZGB","NZWP","1.0","2020"
"KAUS","KMIA","11.0","2020"
"KORF","CO12","1.0","2020"
"ULLI","UNNT","8.0","2020"
"SC75","SC32","2.0","2020"
"KSDF","KOFF","1.0","2020"
"EDDF","EDDF","13.0","2020"
"KMCI","SC08","10.0","2020"
"KMOD","KPSP","1.0","2020"
"KIAG","KDKK","1.0","2020"
"KSAN","KPHX","59.0","2020"
"KLVK","NV55","1.0","2020"
"KVNY","KRVS","1.0","2020"
"KPAE","KBVS","6.0","2020"
"EDDB","EDDK","8.0","2020"
"KLUK","5OI0","2.0","2020"
"4GA4","KJZP","1.0","2020"
"KIAH","KMIA","33.0","2020"
"EDDM","LEMU","2.0","2020"
"KJFK","78MI","7.0","2020"
"KPHX","KPDX","34.0","2020"
"KSRQ","KMCF","1.0","2020"
"KUES","9WS2","1.0","2020"
"KAKR","KBOI","1.0","2020"
"KAPF","KFDK","1.0","2020"
"KPHL","KPVD","12.0","2020"
"KSRQ","KSYR","2.0","2020"
"KNUQ","CA04","1.0","2020"
"KRFD","KOAK","8.0","2020"
"KDFW","45TX","1.0","2020"
"KOJC","KORL","1.0","2020"
"KBVI","PN16","3.0","2020"
"YGAD","YPJT","2.0","2020"
"EHAM","KDTW","2.0","2020"
"KTPA","KOPF","5.0","2020"
"KONT","07KY","7.0","2020"
"FL57","KMCO","2.0","2020"
"1TN0","KAKH","1.0","2020"
"5WN8","KPWK","1.0","2020"
"KPAE","KSNA","5.0","2020"
"03FA","KFMY","3.0","2020"
"KRSV","KOLY","2.0","2020"
"PANC","0AA7","1.0","2020"
"KLAX","NZAA","9.0","2020"
"KLUK","5CT7","1.0","2020"
"27LL","KCPS","2.0","2020"
"KCNO","KLGB","4.0","2020"
"88PA","KIAH","1.0","2020"
"KCJR","51VA","1.0","2020"
"KSDF","FD83","2.0","2020"
"EVRA","EYRU","2.0","2020"
"KCOS","KA50","2.0","2020"
"WT24","KONT","1.0","2020"
"6IN6","KIAH","2.0","2020"
"LEVC","LEMD","1.0","2020"
"KLEE","KZPH","1.0","2020"
"6NJ9","7PS7","1.0","2020"
"KDEN","KMCF","7.0","2020"
"7OH2","60OI","1.0","2020"
"KMYF","KPMD","3.0","2020"
"KSDL","KMSN","1.0","2020"
"KLNS","KLOM","2.0","2020"
"KDMW","KTHV","8.0","2020"
"MS61","K20A","1.0","2020"
"KLAX","LTBW","1.0","2020"
"KDAY","KPGD","2.0","2020"
"IN61","KSBU","1.0","2020"
"EDRA","EDRA","5.0","2020"
"KORD","3PN3","2.0","2020"
"09CO","KPUB","6.0","2020"
"WT24","KSJC","2.0","2020"
"KCDW","KBDR","2.0","2020"
"WA05","KAWO","1.0","2020"
"KAJO","KCLR","1.0","2020"
"KWDR","SC86","1.0","2020"
"2PN3","0PA4","1.0","2020"
"3IN7","KPIE","2.0","2020"
"67GA","KPDK","3.0","2020"
"4SC4","SC75","1.0","2020"
"KTUS","KSDL","5.0","2020"
"KMIC","9MN6","1.0","2020"
"KHND","CL33","1.0","2020"
"KRSV","47IN","1.0","2020"
"KECP","9TN4","1.0","2020"
"KGSO","KEWR","13.0","2020"
"WI69","KUGN","1.0","2020"
"KJFK","KX39","1.0","2020"
"PS11","5PS5","1.0","2020"
"6FL0","79FD","1.0","2020"
"YBCG","YBAF","3.0","2020"
"K54J","KECP","1.0","2020"
"KCMA","KVGT","4.0","2020"
"RCTP","UAAA","1.0","2020"
"KMGY","KFXE","1.0","2020"
"89IS","7IS2","1.0","2020"
"KPMP","KPVD","1.0","2020"
"KFLL","72FL","1.0","2020"
"USSS","EGGW","1.0","2020"
"K9D9","KC35","1.0","2020"
"EDDM","DAAG","1.0","2020"
"EVRA","EDLN","1.0","2020"
"KALN","KHOU","1.0","2020"
"KBNA","FL59","1.0","2020"
"KORS","WA90","1.0","2020"
"KJVL","KMKE","1.0","2020"
"PR20","TJMZ","1.0","2020"
"EGPE","EGZJ","1.0","2020"
"25CL","25CL","2.0","2020"
"EDXR","EDAZ","1.0","2020"
"08FA","22FA","2.0","2020"
"KDTS","KXNA","1.0","2020"
"9WI8","KTAZ","1.0","2020"
"KSEE","KLGB","2.0","2020"
"KIWA","KCHD","1.0","2020"
"KANE","K12Y","2.0","2020"
"LIPE","UUDD","1.0","2020"
"EDWQ","EDWF","1.0","2020"
"KPIB","46MS","1.0","2020"
"KSAC","KMEV","1.0","2020"
"KDFW","KHBG","4.0","2020"
"KBFI","WA18","1.0","2020"
"5CA7","3CA9","2.0","2020"
"OR28","WN80","1.0","2020"
"EICM","EICM","1.0","2020"
"3MD4","MD09","1.0","2020"
"KDTS","KBNA","1.0","2020"
"LFKJ","LFKT","1.0","2020"
"KMSN","KRYV","2.0","2020"
"KMIV","6NJ9","1.0","2020"
"4FD7","FL16","1.0","2020"
"KJQF","NC05","5.0","2020"
"2OH9","OI25","1.0","2020"
"KBEH","42II","1.0","2020"
"KDCA","TX05","1.0","2020"
"YMEN","YMMB","6.0","2020"
"KHYI","7TS2","2.0","2020"
"CYYZ","KMZJ","1.0","2020"
"EBBR","LYBE","1.0","2020"
"KDAL","TE48","1.0","2020"
"KSEE","KFUL","1.0","2020"
"KPRC","KSLI","1.0","2020"
"K9A1","GA53","2.0","2020"
"EHLE","EHMZ","2.0","2020"
"EGNT","EGVN","2.0","2020"
"04CL","KMYF","1.0","2020"
"KPDX","OG28","2.0","2020"
"KCPK","2VA8","1.0","2020"
"EDAE","EDCE","1.0","2020"
"KANP","MD09","2.0","2020"
"TN73","KBNA","1.0","2020"
"KFCM","MN88","3.0","2020"
"K10C","KPWK","3.0","2020"
"26AZ","KFFZ","2.0","2020"
"EDFM","EDRP","1.0","2020"
"KLOU","3KY9","1.0","2020"
"KGKY","KGLE","1.0","2020"
"KBOS","K8B1","2.0","2020"
"KBED","KPHX","1.0","2020"
"LIER","LIED","2.0","2020"
"FA37","3FL5","1.0","2020"
"97IA","IA01","1.0","2020"
"KSLC","KMCO","1.0","2020"
"KCRQ","8CA5","1.0","2020"
"1XA1","KDFW","1.0","2020"
"KCOS","ETAD","1.0","2020"
"KBOS","25VA","1.0","2020"
"KJFK","KFYJ","1.0","2020"
"KSEE","KEMT","1.0","2020"
"KCHD","KP08","3.0","2020"
"EGBW","EGVN","1.0","2020"
"KC29","22WN","1.0","2020"
"OTHH","RPUF","1.0","2020"
"KAUN","25CL","1.0","2020"
"KDXR","KEWR","1.0","2020"
"KIAH","KIAH","6.0","2020"
"4NY1","5NY5","1.0","2020"
"KLAX","KSEA","84.0","2020"
"KMGE","KSPG","1.0","2020"
"KORD","KBOS","40.0","2020"
"KCLT","KBNA","23.0","2020"
"EHLE","LJBL","1.0","2020"
"KSAT","KBWI","6.0","2020"
"4TS5","KSKF","1.0","2020"
"KMDW","KPHX","47.0","2020"
"KMSP","KLAX","32.0","2020"
"EHAM","EHWO","1.0","2020"
"EDDF","LMML","5.0","2020"
"CYYC","CYMX","1.0","2020"
"KLZU","4GA9","7.0","2020"
"KFLG","KCHD","2.0","2020"
"YBBN","YWLM","6.0","2020"
"YGYM","YRBB","1.0","2020"
"KLAX","KMSP","28.0","2020"
"YSSY","WSSS","15.0","2020"
"CYXE","CKT7","1.0","2020"
"KPHL","PA76","12.0","2020"
"KFDK","WV22","1.0","2020"
"KC09","LL10","2.0","2020"
"KDAY","KDAY","8.0","2020"
"KSRQ","KGRR","1.0","2020"
"05II","KFWA","1.0","2020"
"KALO","KORD","4.0","2020"
"KCLE","01FA","3.0","2020"
"KHRL","KUTA","8.0","2020"
"KSBD","KSDF","13.0","2020"
"SC82","SC82","1.0","2020"
"KFCH","KMCC","1.0","2020"
"K8T8","K8T8","3.0","2020"
"KMIA","LEMD","9.0","2020"
"KCMH","FL35","7.0","2020"
"KORD","VT03","1.0","2020"
"44OR","WN21","1.0","2020"
