"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2020-03-30","2","B763","ESMS","ENGM","1"
"2020-03-30","2","GL6T","RJTT","VHHH","1"
"2020-03-30","2","B772","LIRF","KJFK","1"
"2020-03-30","2","A320","EGLL","EKCH","1"
"2020-03-30","2","E75S","CYUL","KIAH","1"
"2020-03-30","2","B77L","EDDF","KATL","1"
"2020-03-30","2","B738","EIDW","EGKK","1"
"2020-03-30","2","B77L","KDFW","EDDF","1"
"2020-03-30","2","B738","EIDW","EGGD","1"
"2020-03-30","2","","EDDF","VTBS","1"
"2020-03-31","3","B738","KDFW","CYYZ","1"
"2020-03-31","3","B744","WSSS","YSSY","1"
"2020-03-31","3","CRJ7","CYUL","KORD","2"
"2020-03-31","3","E75S","KDCA","CYYZ","1"
"2020-03-31","3","B77L","EDDF","KATL","1"
"2020-03-31","3","B744","SBKP","KMIA","1"
"2020-04-01","4","B763","RKSI","RCTP","1"
"2020-04-01","4","B77W","RKSI","VTBS","1"
"2020-04-01","4","B77W","WSSS","YSSY","1"
"2020-04-01","4","B789","VIDP","RJTE","1"
"2020-04-01","4","A306","RCTP","VHHH","1"
"2020-04-01","4","C25A","EKCH","EDDP","1"
"2020-04-01","4","C680","LKPR","EDDF","1"
"2020-04-01","4","C680","EDDF","LKPR","1"
"2020-04-01","4","C17","KPOB","EGUN","1"
"2020-04-01","4","","EBLG","LIPZ","1"
"2020-04-01","4","","RPLL","RJTT","1"
"2020-04-01","4","B789","CYYZ","EDDF","1"
"2020-04-02","5","E190","EDDF","EKCH","1"
"2020-04-02","5","","VHHH","VTBS","1"
"2020-04-02","5","CL64","EDDM","LSGG","1"
"2020-04-02","5","MD11","EDFH","KMIA","1"
"2020-04-02","5","","EGLF","EHAM","1"
"2020-04-02","5","","LCLK","LGAV","1"
"2020-04-02","5","CL35","KPHX","CYYC","1"
"2020-04-02","5","B752","EGNX","EBLG","1"
"2020-04-03","6","","EDDK","EIDW","2"
"2020-04-03","6","B77W","NZAA","CYVR","1"
"2020-04-03","6","S22T","EPKK","LKPR","1"
"2020-04-03","6","B788","OTHH","LGAV","1"
"2020-04-03","6","A333","VHHH","WMKK","2"
"2020-04-03","6","","EBLG","LCLK","1"
"2020-04-03","6","LJ60","KTEB","TXKF","1"
"2020-04-03","6","A320","LIRF","EBBR","1"
"2020-04-03","6","B77W","EHAM","RCTP","1"
"2020-04-03","6","A332","EBLG","LTBA","1"
"2020-04-03","6","B734","LEMD","EBLG","1"
"2020-04-03","6","B762","UUWW","EIDW","1"
"2020-04-04","7","","RJTT","RCSS","1"
"2020-04-04","7","B748","KLCK","ELLX","1"
"2020-04-04","7","B744","VHHH","VIDP","1"
"2020-04-04","7","","RJBB","RKSI","1"
"2020-04-04","7","B744","VHHH","ELLX","1"
"2020-04-04","7","A332","EGLL","LIRF","3"
"2020-04-04","7","B77W","EDDM","OTHH","1"
"2020-04-04","7","","EGKK","UGSB","1"
"2020-04-04","7","B752","BIKF","KIAD","1"
"2020-04-04","7","A333","KJFK","EIDW","1"
"2020-04-05","1","","LSZB","LFBD","1"
"2020-04-05","1","A332","LHBP","LKPR","1"
"2020-04-05","1","B77L","RKSI","KLAX","2"
"2020-04-05","1","A320","EIDW","LFRS","1"
"2020-04-05","1","A319","EDDM","LIRF","1"
"2020-04-05","1","E190","KIAH","CYYZ","1"
"2020-04-05","1","B77W","EHAM","WSAP","1"
"2020-04-05","1","B744","ZGSZ","LFQK","1"
"2020-03-30","2","A319","EDDL","LEVC","1"
"2020-03-30","2","A359","ENGM","OTHH","1"
"2020-03-30","2","A332","VHHH","RCTP","2"
"2020-03-30","2","B763","LFPG","EDDK","1"
"2020-03-30","2","B788","UUDD","OTHH","1"
"2020-03-30","2","B77L","FABB","EBMB","1"
"2020-03-31","3","B789","YSSY","NZAA","1"
"2020-03-30","2","","CYVR","NZAA","1"
"2020-03-30","2","","LFPG","OTHH","4"
"2020-03-30","2","","LIMC","ZGSZ","1"
"2020-03-30","2","","OTHH","EDDF","1"
"2020-03-31","3","","KJFK","OTHH","1"
"2020-03-31","3","A319","EGLL","EDDS","1"
"2020-03-31","3","LJ45","EDDN","LTFJ","1"
"2020-03-31","3","B763","KEWR","LFPG","1"
"2020-03-31","3","","RKSI","CYVR","1"
"2020-03-31","3","E75S","CYYZ","KPHL","1"
"2020-03-31","3","AC90","WN35","CYNJ","1"
"2020-03-31","3","LJ60","KFLL","TBPB","1"
"2020-03-31","3","A332","ENGM","OTHH","1"
"2020-04-01","4","A332","WMKK","VHHH","1"
"2020-04-01","4","B738","OMDW","UMMS","1"
"2020-04-01","4","B77L","KORD","EHBK","1"
"2020-04-01","4","A320","EGLL","ENGM","1"
"2020-04-01","4","B763","KPHL","EGNX","1"
"2020-04-01","4","E195","EDDF","LIMC","1"
"2020-04-01","4","A321","UDYZ","UUDD","1"
"2020-04-01","4","B77W","VHHH","EHAM","1"
"2020-04-01","4","B77W","EGLL","OMDB","1"
"2020-04-01","4","B748","LHBP","ELLX","1"
"2020-04-01","4","A332","LTBA","VABB","1"
"2020-04-01","4","","SKBO","KMIA","4"
"2020-04-01","4","","FAGM","SBGR","1"
"2020-04-01","4","","ENGM","EDDM","1"
"2020-04-01","4","","OTHH","VHHH","1"
"2020-04-01","4","B77W","EGLL","RKSI","1"
"2020-04-01","4","","LKKL","EBLG","1"
"2020-04-01","4","B77L","KORD","RKSI","1"
"2020-04-02","5","B77W","RKSI","KATL","1"
"2020-04-02","5","","EBLG","LKPR","1"
"2020-04-02","5","C208","CYHM","61OH","1"
"2020-04-02","5","","LIMC","KORD","1"
"2020-04-02","5","B744","LIMC","UNNT","1"
"2020-04-02","5","B748","UUEE","LOWW","1"
"2020-04-02","5","","EGHI","EGJB","1"
"2020-04-02","5","B738","LGSM","EDDH","1"
"2020-04-02","5","A332","LKPR","LTBA","1"
"2020-04-02","5","","EGNX","KCVG","1"
"2020-04-03","6","B77L","LFPG","VIDP","1"
"2020-04-03","6","MD11","VABB","OMDB","1"
"2020-04-03","6","","KLAX","YSSY","2"
"2020-04-03","6","B77W","KLAX","RKSI","1"
"2020-04-03","6","C560","EDDS","UKKT","1"
"2020-04-03","6","","EHLE","LJBL","1"
"2020-04-03","6","B744","VHHH","WMKK","1"
"2020-04-03","6","B752","LHBP","EBLG","1"
"2020-04-03","6","A306","ESGG","EKCH","1"
"2020-04-03","6","B734","VHHH","VTBS","1"
"2020-04-04","7","B748","LIMC","VHHH","1"
"2020-04-04","7","AT75","EFHK","ESSA","2"
"2020-04-04","7","B77L","EDDP","RKSI","1"
"2020-04-04","7","B738","UMMS","EHAM","1"
"2020-04-04","7","B77W","FAOR","VHHH","1"
"2020-04-04","7","A319","LFPG","LEMD","1"
"2020-04-04","7","A20N","LFPG","EDDF","1"
"2020-04-04","7","PRM1","EGLF","LSZG","1"
"2020-04-04","7","A320","KATL","CYYZ","1"
"2020-04-04","7","B763","VHHH","YSSY","1"
"2020-04-05","1","","LTBA","OBBI","1"
"2020-04-05","1","B744","UAAA","EDFH","1"
"2020-04-05","1","IL76","ZGSZ","EDDM","1"
"2020-04-05","1","B77L","KATL","EHAM","1"
"2020-04-05","1","B77W","EGLL","CYYZ","1"
"2020-04-05","1","P46T","EDFB","LKKL","1"
"2020-04-05","1","B748","VHHH","EDDF","1"
"2020-03-30","2","B763","KNGU","EDFH","1"
"2020-03-30","2","B733","EGNX","EGJB","1"
"2020-03-30","2","B77L","OMDW","WSAP","1"
"2020-03-30","2","A319","EGLL","LEVC","1"
"2020-03-30","2","CL85","LSGG","EHAM","1"
"2020-03-30","2","C510","LKPR","EDDL","1"
"2020-03-30","2","A320","LKPR","OTHH","1"
"2020-03-30","2","B77W","KMIA","CYYZ","1"
"2020-03-30","2","","EHAM","EGLL","1"
"2020-03-30","2","","LPPR","EBLG","1"
"2020-03-31","3","B744","KLAX","RKSI","3"
"2020-03-31","3","B748","NZAA","YSSY","1"
"2020-03-31","3","C208","CYHM","73OI","1"
"2020-03-31","3","","EDDP","OBBI","1"
"2020-03-31","3","B734","EDDP","LJLJ","1"
"2020-03-31","3","B77L","EDDP","OMDB","1"
"2020-03-31","3","A321","EFHK","LFPG","1"
"2020-03-31","3","B77W","RPLL","RCTP","1"
"2020-03-31","3","A319","CFQ7","KIAH","1"
"2020-03-31","3","A310","LTBA","EBMB","1"
"2020-03-31","3","A319","EDDL","EGLL","1"
"2020-03-31","3","B748","73KY","OMDB","1"
"2020-03-31","3","A310","ESSA","LTBA","1"
"2020-03-31","3","","EDDK","LSGG","1"
"2020-03-31","3","A319","LOWW","EDDL","1"
"2020-03-31","3","A319","LSZH","EDDL","1"
"2020-03-31","3","A124","LGAV","LPPR","1"
"2020-03-31","3","","EBLG","EGSS","1"
"2020-04-01","4","B744","WSSS","YSSY","1"
"2020-04-01","4","A306","EDDP","EFHK","1"
"2020-04-01","4","B77W","RKSI","EGLL","1"
"2020-04-01","4","A306","LZIB","EDDP","2"
"2020-04-01","4","A333","WMKK","RJAA","1"
"2020-04-01","4","A320","EHAM","LFPG","2"
"2020-04-01","4","SF34","UKKK","EPWA","1"
"2020-04-01","4","A332","SBKP","SKMA","1"
"2020-04-01","4","CRJ9","CYUL","78MI","1"
"2020-03-31","3","","RCTP","VTBS","1"
"2020-04-01","4","","KMIA","MROC","1"
"2020-04-01","4","","ETAR","KBWI","1"
"2020-04-01","4","","EFTU","EBLG","1"
"2020-04-01","4","B788","ZGSZ","LEMD","1"
"2020-04-02","5","","EDDK","EIDW","1"
"2020-04-02","5","","KMIA","SKBO","1"
"2020-04-02","5","B788","RKSI","EPWA","1"
"2020-04-02","5","DH8D","LDZA","EHAM","1"
"2020-04-02","5","B789","RPLL","RJTT","1"
"2020-04-02","5","B77W","OTHH","EDDF","1"
"2020-04-02","5","B77L","EHAM","KATL","2"
"2020-04-02","5","B763","YSSY","NZAA","1"
"2020-04-02","5","PA46","EDDV","EKRK","1"
"2020-04-02","5","B789","EFHK","RJTT","1"
"2020-04-02","5","B77L","RKSI","EDDF","1"
"2020-04-02","5","","LEZG","EDDH","1"
"2020-04-02","5","B744","EDDF","RKSI","1"
"2020-04-02","5","B748","ELLX","RCTP","1"
"2020-04-03","6","","OTHH","WSAP","1"
"2020-04-03","6","A306","EBBR","EGNX","1"
"2020-04-03","6","","RJBB","RKSI","1"
"2020-04-03","6","B748","VHHH","EGLL","1"
"2020-04-03","6","GLF4","EGSS","KJFK","1"
"2020-04-03","6","G450","KOPF","CYYZ","1"
"2020-04-03","6","CL85","LMML","LFBO","1"
"2020-04-03","6","","VTBS","OTHH","1"
"2020-04-03","6","B772","EHAM","WMKK","1"
"2020-04-03","6","","VHHH","LTBA","1"
"2020-04-04","7","A35K","KIAD","EGLL","1"
"2020-04-04","7","","VTBS","RKSI","1"
"2020-04-04","7","B744","OMDW","ELLX","1"
"2020-04-04","7","B77W","OMDB","EDDF","1"
"2020-04-04","7","B748","LOWW","ELLX","1"
"2020-04-04","7","B77L","RKSI","LHBP","1"
"2020-04-05","1","B744","EDFH","SC39","1"
"2020-04-05","1","","EIDW","CYHM","1"
"2020-04-05","1","","EHAM","KEWR","1"
"2020-03-30","2","A306","EDDP","LIRA","1"
"2020-03-30","2","A359","RKSI","KLAX","1"
"2020-03-30","2","A320","EGBB","EIDW","2"
"2020-03-30","2","LJ35","EKOD","EDDN","1"
"2020-03-30","2","A333","RKSI","VTBS","1"
"2020-03-30","2","B77L","VHHH","PANC","2"
"2020-03-30","2","B77L","LFPG","OMDB","1"
"2020-03-30","2","","LPPT","EGSS","1"
"2020-03-30","2","","OTHH","VTBS","1"
"2020-03-31","3","B77W","VABB","EDDF","2"
"2020-03-31","3","H25B","KALB","BIKF","1"
"2020-03-31","3","A332","KCVG","EGNX","1"
"2020-03-31","3","A321","LIRF","EGLL","1"
"2020-03-31","3","CRJ9","LSZH","EDDM","1"
"2020-03-31","3","B77L","EDDP","67KY","1"
"2020-03-31","3","B762","GVNP","EINN","1"
"2020-03-31","3","B77L","VHHH","RJBB","1"
"2020-03-31","3","LJ31","CYYZ","KPDK","1"
"2020-03-31","3","B734","EBBR","EGNX","1"
"2020-03-31","3","B748","RKSI","KCVG","1"
"2020-03-31","3","B744","KIAH","EGPK","1"
"2020-04-01","4","B77L","LFPG","VIDP","1"
"2020-04-01","4","B77W","YSSY","VHHH","2"
"2020-04-01","4","B734","LIMC","EGNX","2"
"2020-04-01","4","A320","EGPH","EIDW","1"
"2020-04-01","4","A319","EDDH","LEPA","1"
"2020-04-01","4","B77W","OTHH","ESSA","1"
"2020-03-31","3","","CYYZ","KATL","1"
"2020-04-01","4","","KORD","EGLL","1"
"2020-04-01","4","","EHAM","OTHH","1"
"2020-04-01","4","","RJBB","RKSI","1"
"2020-04-01","4","","CNP7","NY59","1"
"2020-04-02","5","","OTHH","EGLL","2"
"2020-04-02","5","A333","SBGR","KATL","1"
"2020-04-02","5","B748","KORD","CYYZ","1"
"2020-04-02","5","B738","EHAM","ESGG","1"
"2020-04-02","5","BCS1","LSZH","EHAM","1"
"2020-04-02","5","LJ45","EDDC","LFEU","1"
"2020-04-02","5","G650","RKSI","UUEE","1"
"2020-04-02","5","AT72","LDZA","EDDK","1"
"2020-04-02","5","B752","LIMC","EBLG","1"
"2020-04-02","5","B763","EGSS","EDDK","1"
"2020-04-03","6","AT75","EFHK","ESSA","2"
"2020-04-03","6","A333","RJBB","VHHH","1"
"2020-04-03","6","B738","LPPT","EIDW","1"
"2020-04-03","6","","LPPT","EGLL","1"
"2020-04-03","6","B77W","YBBN","OTHH","1"
"2020-04-03","6","","LCLK","LLBG","1"
"2020-04-03","6","A320","CYYZ","KFLL","1"
"2020-04-03","6","B77W","KJFK","RKSI","1"
"2020-04-03","6","A333","KEWR","EDDF","1"
"2020-04-03","6","","KJFK","SBGR","1"
"2020-04-04","7","","KAKR","CYHM","1"
"2020-04-04","7","B77L","KLAX","RKSI","1"
"2020-04-04","7","A319","EGLL","LEMD","2"
"2020-04-04","7","B77W","VHHH","KLAX","2"
"2020-04-04","7","DH8D","LDZA","LIRF","1"
"2020-04-04","7","B763","CYYZ","TBPB","1"
"2020-04-04","7","","EIDW","EPWA","1"
"2020-04-04","7","B77W","RKSI","OTHH","1"
"2020-04-04","7","B789","KLAX","YSSY","1"
"2020-04-04","7","B748","ELLX","VHHH","1"
"2020-04-05","1","B739","WMKK","VIDP","1"
"2020-04-05","1","","VTBS","VIDP","1"
"2020-04-05","1","","EKCH","ENGM","2"
"2020-04-05","1","B77L","EDDP","67KY","2"
"2020-04-05","1","BE40","EDDS","LKKL","1"
"2020-04-05","1","A343","EDDF","MROC","1"
"2020-04-05","1","B77W","GMMN","LTBW","1"
"2020-04-05","1","","EGKK","EGJB","1"
"2020-04-05","1","B763","EGLL","67KY","1"
"2020-04-05","1","","WSSS","EKCH","1"
"2020-04-05","1","B788","KBOS","EGLL","1"
"2020-04-05","1","B744","KCVG","LTBA","1"
"2020-03-30","2","A333","RCTP","WMKK","1"
"2020-03-30","2","A320","EGGW","LHBP","2"
"2020-03-30","2","B789","RKSI","KSFO","2"
"2020-03-30","2","A3ST","LFBO","EDHI","1"
"2020-03-30","2","A320","LFPG","LIRF","1"
"2020-03-30","2","B762","DAAG","EINN","1"
"2020-03-30","2","A306","EKCH","EBBR","1"
"2020-03-30","2","B77L","KATL","OTHH","1"
"2020-03-30","2","","UKBB","EDDB","1"
"2020-03-31","3","A306","EKCH","ENGM","1"
"2020-03-31","3","","EDDF","ESSA","1"
"2020-03-31","3","B734","EDDP","LFPG","1"
"2020-03-31","3","A320","BIKF","EGLL","1"
"2020-03-31","3","B738","LEMD","LPIN","1"
"2020-03-31","3","B77W","ESSA","OTHH","1"
"2020-03-31","3","","KMSP","CRK2","1"
"2020-03-31","3","B77L","EGSS","EDDF","1"
"2020-04-01","4","B763","LFPG","KEWR","1"
"2020-04-01","4","A333","RPLL","VHHH","2"
"2020-04-01","4","E190","EFHK","LSZH","1"
"2020-04-01","4","E190","KLGA","CYYZ","1"
"2020-04-01","4","LJ45","LIME","EGSS","1"
"2020-04-01","4","E195","EGLL","EPWA","1"
"2020-04-01","4","B734","EINN","EGNX","1"
"2020-04-01","4","","EDDF","LMML","1"
"2020-04-01","4","C25A","LKPR","LEBL","1"
"2020-04-02","5","B789","NZAA","YBBN","1"
"2020-04-02","5","B789","CYYZ","EGLL","1"
"2020-04-02","5","B752","EBBR","EGGW","1"
"2020-04-02","5","","OERK","EDDF","1"
"2020-04-02","5","B77L","OTHH","LEMD","1"
"2020-04-02","5","B77W","VABB","EDDF","1"
"2020-04-02","5","A320","EHAM","EGLL","1"
"2020-04-02","5","","CYYZ","SC08","1"
"2020-04-02","5","B77W","EDDF","WSSS","1"
"2020-04-02","5","","EDDF","RKSI","1"
"2020-04-02","5","B763","EGNX","EDDP","1"
"2020-04-03","6","","EPWA","EYRU","1"
"2020-04-03","6","B737","OBBI","OMAM","1"
"2020-04-03","6","A332","KMIA","SKBO","2"
"2020-04-03","6","A320","EBBR","LGAV","1"
"2020-04-03","6","B744","NZAA","WSAP","1"
"2020-04-03","6","","VHHH","NZAA","1"
"2020-04-03","6","A320","EIDW","LFPG","1"
"2020-04-03","6","A320","EDDF","LFPG","1"
"2020-04-03","6","B748","EDDF","SBGR","1"
"2020-04-04","7","","KEWR","EGLL","1"
"2020-04-04","7","A321","RCTP","VMMC","1"
"2020-04-04","7","A320","EGCC","EIDW","1"
"2020-04-04","7","A3ST","LFBO","EDHI","1"
"2020-04-04","7","A332","EGLL","EIDW","1"
"2020-04-04","7","CRJ9","CYYZ","KLGA","2"
"2020-04-04","7","DHC3","KBOS","CYUL","1"
"2020-04-04","7","","LFHE","EDDV","1"
"2020-04-04","7","B77W","CYVR","EDDF","1"
"2020-04-04","7","B748","RCTP","PANC","1"
"2020-04-04","7","B734","EGNX","EDDP","1"
"2020-04-05","1","","RCTP","RJBB","1"
"2020-04-05","1","C17","LHPA","EHEH","1"
"2020-04-05","1","A333","WMKK","VHHH","2"
"2020-04-05","1","B744","VTBS","RKSI","2"
"2020-04-05","1","","OTHH","LFPG","1"
"2020-04-05","1","B77L","EDDF","OMDB","1"
"2020-04-05","1","B744","KLAX","RKSI","2"
"2020-04-05","1","B77W","LFPG","KLAX","1"
"2020-04-05","1","B772","LIRF","KJFK","1"
"2020-04-05","1","","EBBR","OTHH","1"
"2020-04-05","1","LJ45","BIKF","CYYZ","1"
"2020-04-05","1","B744","OERK","OMDW","1"
"2020-04-05","1","B738","EIDW","EGKK","1"
"2020-03-30","2","B744","KSEA","RKSI","1"
"2020-03-30","2","BE9L","EFHK","EETN","1"
"2020-03-30","2","B788","WBSB","YMML","1"
"2020-03-30","2","B744","LIMC","UUEE","1"
"2020-03-30","2","A320","LLBG","EGLL","1"
"2020-03-30","2","B788","LSZH","OTHH","1"
"2020-03-30","2","","VHHH","RPLL","1"
"2020-03-31","3","","BIKF","KBOS","1"
"2020-03-31","3","A20N","EDDF","LPPT","1"
"2020-03-31","3","C510","EGKB","EDDL","1"
"2020-03-31","3","A319","CYVR","CO12","1"
"2020-03-31","3","A306","LFLL","EDDP","1"
"2020-04-01","4","B752","MROC","KUTA","2"
"2020-04-01","4","B762","EDDP","LIRA","1"
"2020-04-01","4","BCS1","LSZH","EHAM","1"
"2020-04-01","4","B77L","OMDB","EGLL","1"
"2020-04-01","4","B77L","OMDB","LFPG","1"
"2020-04-01","4","B763","EGSS","LFPG","1"
"2020-04-01","4","A319","EGLL","LDZA","1"
"2020-03-31","3","","KSEA","RJTT","1"
"2020-04-01","4","","WSSS","ZGSZ","1"
"2020-04-01","4","B752","LFPG","LEBL","1"
"2020-04-01","4","","KSFO","EHAM","1"
"2020-04-02","5","E120","MMTJ","KRIR","1"
"2020-04-02","5","B734","EGNX","LIMC","1"
"2020-04-02","5","E55P","EDDM","UKBB","1"
"2020-04-02","5","","LIMC","LTBW","1"
"2020-04-02","5","B788","WSSS","VTBS","1"
"2020-04-02","5","B744","KCVG","EDDP","1"
"2020-04-02","5","A359","OTHH","YPPH","1"
"2020-04-02","5","E75L","CYEG","KSEA","1"
"2020-04-02","5","","LOWW","EDDK","1"
"2020-04-03","6","","LROP","EHAM","1"
"2020-04-03","6","B744","PANC","RCTP","2"
"2020-04-03","6","A319","EGLL","EFHK","2"
"2020-04-03","6","E75L","UMMS","EFHK","1"
"2020-04-03","6","B738","LEMD","EGCC","1"
"2020-04-03","6","","OTHH","EDDT","1"
"2020-04-03","6","B77F","VHHH","OMSJ","1"
"2020-04-03","6","","OBBI","VHHH","1"
"2020-04-04","7","DH8D","EDDF","LDZA","1"
"2020-04-04","7","C17","LHPA","YTBF","1"
"2020-04-04","7","B744","YMML","NZAA","1"
"2020-04-04","7","B738","EGKK","EIDW","1"
"2020-04-04","7","B77L","KATL","VABB","1"
"2020-04-05","1","A319","KLAX","CYVR","2"
"2020-04-05","1","B748","UUEE","LIMC","1"
"2020-04-05","1","A346","EDDF","FABA","1"
"2020-04-05","1","B77W","OTHH","ESSA","1"
"2020-04-05","1","","ZGSZ","LIMC","1"
"2020-04-05","1","","EPWA","EIDW","1"
"2020-04-05","1","BCS1","ESSA","LSZH","1"
"2020-04-05","1","CRJ9","CYUL","78MI","2"
"2020-04-05","1","","EDDP","EGNX","1"
"2020-03-30","2","B744","VHHH","PANC","3"
"2020-03-30","2","B744","VHHH","EDDP","1"
"2020-03-30","2","A320","EIDW","EGBB","2"
"2020-03-30","2","CRJ9","EDDM","LSZH","1"
"2020-03-30","2","CRJ2","CYOW","KORD","1"
"2020-03-30","2","B77L","ENGM","OTHH","1"
"2020-03-30","2","A320","LSZH","EDDF","2"
