"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2019-04-02","3","H25B","KHPN","CYYZ","1"
"2019-04-02","3","A319","EDDM","EGLL","2"
"2019-04-02","3","B744","EGKK","TBPB","1"
"2019-04-02","3","A321","LPAR","LTBW","1"
"2019-04-02","3","B77W","LFPG","CYHU","1"
"2019-04-02","3","A319","EDDF","EGCC","1"
"2019-04-02","3","A320","LIRF","EGKR","1"
"2019-04-02","3","A320","VOBL","VNKT","1"
"2019-04-02","3","B772","LFPO","KJFK","1"
"2019-04-02","3","B763","EDDF","KSEA","1"
"2019-04-02","3","A319","EGKK","LIPV","1"
"2019-04-02","3","B738","EHEH","EIDW","1"
"2019-04-02","3","B77L","OMDW","VHHH","1"
"2019-04-02","3","","CYYZ","KHHR","1"
"2019-04-02","3","B738","SAEZ","KHHR","1"
"2019-04-02","3","","WMKK","RJBB","1"
"2019-04-02","3","B738","EIBA","KSFZ","1"
"2019-04-02","3","B738","WBKK","RKSI","4"
"2019-04-02","3","A333","LSZH","KEWR","1"
"2019-04-02","3","A321","LIRF","LPPT","1"
"2019-04-02","3","B77W","RCTP","EDDF","1"
"2019-04-02","3","E75L","EHAM","EGLL","1"
"2019-04-02","3","B752","BIKF","EKCH","1"
"2019-04-02","3","B738","EGGW","LEMP","1"
"2019-04-02","3","A20N","SAEZ","SBKP","1"
"2019-04-02","3","E195","LOWW","LIPV","1"
"2019-04-02","3","","TXKF","KTEB","1"
"2019-04-02","3","A320","LTFJ","OBBI","1"
"2019-04-02","3","","LPPT","LFPG","1"
"2019-04-02","3","A321","EGLL","EDDF","1"
"2019-04-02","3","B738","LEMG","EGGD","1"
"2019-04-02","3","A320","SAAR","SBGR","1"
"2019-04-02","3","B744","KPHL","EDDF","1"
"2019-04-02","3","A320","OMDB","OLBA","1"
"2019-04-03","4","E190","KDFW","MMMX","1"
"2019-04-03","4","B77W","RJBB","RKSS","1"
"2019-04-03","4","B744","YSSY","VMMC","1"
"2019-04-03","4","A306","EKCH","ESGG","1"
"2019-04-03","4","E195","UKBB","LOWW","1"
"2019-04-03","4","A318","LIMC","LFPG","4"
"2019-04-03","4","A319","LFPG","LIML","2"
"2019-04-03","4","A319","EDDL","EKCH","3"
"2019-04-03","4","B738","EDDL","LEAL","1"
