"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2021-04-05","2","C56X","MPTO","MNMG","1"
"2021-04-05","2","B788","OMDB","GABS","1"
"2021-04-05","2","B722","8KY6","CYHM","1"
"2021-04-05","2","B77L","EDDP","RKSI","2"
"2021-04-05","2","C56X","EDDW","EKOD","1"
"2021-04-05","2","A319","EDDF","EKCH","1"
"2021-04-05","2","B789","RJAA","RPLS","1"
"2021-04-05","2","B738","LTFJ","LOWW","1"
"2021-04-05","2","B738","EHEH","LEAL","1"
"2021-04-05","2","A319","OTBD","LSGG","1"
"2021-04-05","2","E170","LFPG","LKPR","1"
"2021-04-05","2","A21N","LEPA","EDDF","1"
"2021-04-05","2","E195","ENGM","LOWW","1"
"2021-04-05","2","C25C","LSZR","EDQG","1"
"2021-04-05","2","B788","KDFW","MMUN","1"
"2021-04-05","2","B738","KATL","MPMG","1"
"2021-04-05","2","","KLAX","OTHH","2"
"2021-04-05","2","","RJAA","RCTP","1"
"2021-04-05","2","","LSGG","LEMD","2"
"2021-04-05","2","","OTHH","CYYZ","1"
"2021-04-05","2","","KPSM","CYUL","2"
"2021-04-05","2","E50P","LSZH","LFPB","1"
"2021-04-05","2","","MYCC","KTMB","3"
"2021-04-05","2","","EGPD","ENZV","1"
"2021-04-05","2","A319","LOWW","EDDH","1"
"2021-04-05","2","A320","OMSJ","OPMT","1"
"2021-04-05","2","A321","KDEN","MMUN","1"
"2021-04-05","2","B738","EPKK","EGGP","1"
"2021-04-05","2","","KSFO","RJTT","1"
"2021-04-06","3","B77L","RJAA","VHHH","3"
"2021-04-06","3","B772","KSEA","EGLL","1"
"2021-04-06","3","A319","EDDH","LOWW","1"
"2021-04-06","3","C17","EGVN","LMML","1"
"2021-04-06","3","BE40","UKKK","LCLK","1"
"2021-04-06","3","B737","EHAM","LEBL","2"
"2021-04-06","3","B77W","EKCH","KIAD","1"
"2021-04-06","3","A319","EDDL","LEPA","1"
"2021-04-06","3","","VGTJ","LTBA","1"
"2021-04-06","3","B78X","EHAM","KORD","1"
"2021-04-06","3","","EYVI","EDDF","1"
"2021-04-06","3","","EPWA","EYVI","1"
"2021-04-06","3","B744","8KY6","EDDP","1"
"2021-04-06","3","B77W","GMMN","OTHH","1"
"2021-04-06","3","C510","MMPB","KSAT","1"
"2021-04-06","3","BCS3","LPPT","LSZH","1"
"2021-04-06","3","A359","EDDF","RJTT","1"
"2021-04-06","3","B748","PANC","RKSI","1"
"2021-04-06","3","AT72","EPWA","LFPG","1"
"2021-04-06","3","T204","UUEE","EDDP","1"
"2021-04-06","3","A333","CYUL","EHAM","1"
"2021-04-07","4","A320","VVTS","WSSS","1"
"2021-04-07","4","","EBLG","EDDE","1"
"2021-04-07","4","B763","EGNX","KPHL","1"
