"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"IS26","Niklaus RLA Restricted Landing Area","small_airport","40.1833992004","-88.61530303960001","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"XA52","Ehni Airport","small_airport","30.923500061035156","-95.29350280761719","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"K1H3","Linn State Technical College Airport","small_airport","38.471583","-91.817293","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"SC39","Green Pond Airport","small_airport","34.808553284","-82.07737684250002","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"SICN","Fazenda Vista Bonita Airport","small_airport","-22.503332138061523","-51.81277847290039","BR","BRA","Brazil","South America","-14.235004","-51.92528","","","","","2019"
"KF62","Hayfork Airport","small_airport","40.547100067139","-123.18199920654","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"K21D","Lake Elmo Airport","small_airport","44.99750137","-92.85569763","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"EDMH","Gunzenhausen-Reutberg Airfield","small_airport","49.111942","10.780833","DE","DEU","Germany","Europe","51.165691","10.451526","","","","","2019"
"3TS3","J-D Ranch Airport","small_airport","29.37470054626465","-95.29049682617188","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"NJ20","Coyle Field","small_airport","39.812599182128906","-74.42459869384766","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"WSAT","Tengah Air Base","medium_airport","1.387561","103.708291","SG","SGP","Singapore","Asia","1.352083","103.819836","","","","","2019"
"WI62","Sss Aerodrome","small_airport","43.269500732421875","-87.99810028076172","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"23AZ","Moreton Airpark","small_airport","34.019500732421875","-112.82599639892578","US","USA","United States","North America","37.09024","-95.712891","","","","","2019"
"SSOG","Arapongas Airport","small_airport","-23.3529","-51.491699","BR","BRA","Brazil","South America","-14.235004","-51.92528","","","","","2019"
