"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"KSPB","Scappoose Industrial Airpark","small_airport","45.770999908447266","-122.86199951171875","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LTAB","Güvercinlik Airport","small_airport","39.9350013733","32.7407989502","TR","TUR","Turkey","Asia","38.963745","35.243322","3849011.0","84339067.0","4.563734384208922","4.56%","2021"
"SDSM","Fazenda Nossa Senhora da Conceição Airport","small_airport","-22.76472282409668","-48.54249954223633","BR","BRA","Brazil","South America","-14.235004","-51.92528","13482023.0","212559409.0","6.342708169648703","6.34%","2021"
"50NE","Elge Field","small_airport","40.939998626708984","-98.0781021118164","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"XA33","Thorny Woods Airport","small_airport","32.95869827270508","-96.26439666748047","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"NZMS","Hood Airport","medium_airport","-40.97330093383789","175.63400268554688","NZ","NZL","New Zealand","Oceania","-40.900557","174.885971","2583.0","4822233.0","0.053564396411372076","0.05%","2021"
"KX06","Arcadia Municipal Airport","small_airport","27.195549","-81.837287","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"MM28","Tizayuca Airport","small_airport","19.874000549316","-98.943603515625","MX","MEX","Mexico","North America","23.634501","-102.552784","2280213.0","128932753.0","1.7685289012637464","1.77%","2021"
"CFN7","Sundre Airport","small_airport","51.774200439453125","-114.677001953125","CA","CAN","Canada","North America","56.130366","-106.346771","1067764.0","37742157.0","2.8291016859476263","2.83%","2021"
"MD97","Lanseair Farms Airport","small_airport","38.46149826049805","-77.04640197753906","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LIMC","Malpensa International Airport","large_airport","45.6306","8.72811","IT","ITA","Italy","Europe","41.87194","12.56738","3769814.0","60461828.0","6.235031464811153","6.24%","2021"
"KSFO","San Francisco International Airport","large_airport","37.61899948120117","-122.375","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EDFB","Reichelsheim Airport","small_airport","50.33583450317383","8.878055572509766","DE","DEU","Germany","Europe","51.165691","10.451526","3012158.0","83783945.0","3.595149404817355","3.60%","2021"
"WT24","Reed Airport","small_airport","47.522778","-117.538055","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"OH51","Miami Valley Career Technology Center Airport","closed","39.843399","-84.331299","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"65NY","Chautauqua Lake Airpark","small_airport","42.28390121459961","-79.44390106201172","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KTMK","Tillamook Airport","small_airport","45.4182014465","-123.814002991","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"5GA5","Pinebrook Estates Airport","small_airport","33.25979995727539","-84.34940338134766","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"SDWI","Fazenda Lagoa do Cavalo Airport","small_airport","-8.17","-35.63","BR","BRA","Brazil","South America","-14.235004","-51.92528","13482023.0","212559409.0","6.342708169648703","6.34%","2021"
"TN73","Doc Jones Field","small_airport","36.32339859008789","-86.95939636230469","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"TX15","Beggs Ranch (Aledo) Airport","closed","32.751499","-97.612801","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"61TX","Traylor Tick Farm Airport","small_airport","29.972400665283203","-96.30719757080078","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"AL18","Parker Field","small_airport","33.67620086669922","-86.86750030517578","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EHSE","Seppe Airfield","small_airport","51.554699","4.5525","NL","NLD","Netherlands","Europe","52.132633","5.291266","1374451.0","17134873.0","8.021366718037537","8.02%","2021"
"KSLR","Sulphur Springs Municipal Airport","small_airport","33.159801483154","-95.621101379395","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"6LL6","Fischer's RLA Restricted Landing Area","small_airport","38.4916992188","-89.6633987427","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"51VA","Skyview Airport","small_airport","38.71620178222656","-77.63390350341797","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
