"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"EDFN","Marburg-Schönstadt Airport","small_airport","50.87444305419922","8.8149995803833","DE","DEU","Germany","Europe","51.165691","10.451526","96092.0","83783945.0","0.11950141521743815","0.12%","2020"
"KSLK","Adirondack Regional Airport","medium_airport","44.38529968261719","-74.2061996459961","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"LFME","Nîmes Courbessac Airport","small_airport","43.853901","4.41361","FR","FRA","France","Europe","46.227638","2.213749","64452.0","67564251.0","0.09539364241601672","0.10%","2020"
"3LL1","Herschel Hunter Airport","small_airport","38.2223014831543","-89.70429992675781","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"0GE0","Pinewood Airport","small_airport","33.782100677490234","-84.80079650878906","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"K6I4","Boone County Airport","small_airport","40.007301330566406","-86.44059753417969","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"K1C5","Bolingbrook's Clow International Airport","small_airport","41.695999145500004","-88.12920379639999","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"K0E8","Crownpoint Airport","small_airport","35.71770095825195","-108.2020034790039","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"LL09","Air Estates Inc Airport","small_airport","42.280601501464844","-88.09449768066406","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"SDIH","Fazenda Irohy Airport","small_airport","-23.565555572509766","-46.06944274902344","BR","BRA","Brazil","South America","-14.235004","-51.92528","9056.0","212559409.0","0.00523618316985441","0.01%","2020"
"80CO","Simonson Field","small_airport","38.15169906616211","-104.70600128173828","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KLBE","Arnold Palmer Regional Airport","medium_airport","40.27590179","-79.40480042","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KNFE","Fentress Naval Auxiliary Landing Field","small_airport","36.69509888","-76.13549805","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"92VA","New Quarter Farm Airport","small_airport","37.34469985961914","-76.56439971923828","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"YNHS","Nambucca Heads Airport","small_airport","-30.649999618530273","153","AU","AUS","Australia","Oceania","-25.274398","133.775136","5687.0","25499881.0","0.022302064860616408","0.02%","2020"
"LSPL","Flugplatz Langenthal","small_airport","47.1828","7.74139","CH","CHE","Switzerland","Europe","46.818188","8.227512","21100.0","8654618.0","0.2438004773867547","0.24%","2020"
"TE96","Crosswinds Airfield","closed","30.433201","-97.412498","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"7TA0","Field's Field","small_airport","30.09289","-95.651487","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"EKGH","Grønholt Hillerød Airport","small_airport","55.94139862060547","12.382200241088867","DK","DNK","Denmark","Europe","56.26392","9.501785","4561.0","5792203.0","0.07874378712210191","0.08%","2020"
"LFQQ","Lille-Lesquin Airport","medium_airport","50.563332","3.086886","FR","FRA","France","Europe","46.227638","2.213749","64452.0","67564251.0","0.09539364241601672","0.10%","2020"
"K9G2","Prices Airport","small_airport","42.80759811401367","-83.7698974609375","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"7WA5","Stuart Island Airpark","small_airport","48.673379","-123.175439","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"MY43","Becker Personal Airport","small_airport","45.4026985168457","-93.38939666748047","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"30NY","Coye Field","small_airport","42.750099182128906","-77.55809783935547","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"3IL7","Home Free Airport","small_airport","41.80339813232422","-89.02179718017578","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"EDVK","Kassel-Calden Airport","medium_airport","51.417273","9.384967","DE","DEU","Germany","Europe","51.165691","10.451526","96092.0","83783945.0","0.11950141521743815","0.12%","2020"
"LL38","Stutzke Airport","small_airport","41.810298919677734","-89.83830261230469","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KNGU","Norfolk Naval Station (Chambers Field)","medium_airport","36.937599","-76.289299","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"NJ64","Reeder Airport","closed","39.7057","-75.0802","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"YGYM","Gympie Airport","small_airport","-26.282800674438477","152.70199584960938","AU","AUS","Australia","Oceania","-25.274398","133.775136","5687.0","25499881.0","0.022302064860616408","0.02%","2020"
"ESSC","Ekeby Airfield","small_airport","59.3839","16.4419","SE","SWE","Sweden","Europe","60.128161","18.643501","7172.0","10099270.0","0.07101503375986581","0.07%","2020"
"4FL8","Schwartz Farms Inc Airport","small_airport","27.343700408935547","-82.31729888916016","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"17OH","Kosik Private Airport","small_airport","41.24259948730469","-82.27020263671875","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"EGHI","Southampton Airport","large_airport","50.95029830932617","-1.3567999601364136","GB","GBR","United Kingdom","Europe","55.378051","-3.435973","61422.0","67886004.0","0.09047814922203994","0.09%","2020"
"EDMS","Straubing Airport","small_airport","48.90083312988281","12.516667366027832","DE","DEU","Germany","Europe","51.165691","10.451526","96092.0","83783945.0","0.11950141521743815","0.12%","2020"
"5NY4","Stanwix Heights Airport","small_airport","43.15760040283203","-75.43070220947266","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"0VA7","Flatrock Air Strip","small_airport","37.52320098876953","-77.81939697265625","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KPTK","Oakland County International Airport","medium_airport","42.665500640869","-83.420097351074","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KTZT","Belle Plaine Municipal Airport","small_airport","41.87879943847656","-92.28459930419922","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"12LL","Lambdins Field","closed","37.540298","-89.486198","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"62MO","Washburn Farm Airport","small_airport","39.06060028076172","-94.20330047607422","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"OH22","Stoltzfus Airfield","small_airport","40.761199951171875","-81.77899932861328","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"WI72","Martin Fierro Airport","closed","42.799999","-90.5718","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"MO08","Homan Field","small_airport","38.66279983520508","-93.33270263671875","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"0WI5","Crash In International Airport","small_airport","42.793399810791016","-87.8906021118164","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"3IN2","Dupouy Airport","small_airport","40.4192008972168","-85.8561019897461","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KEHO","Shelby-Cleveland County Regional Airport","small_airport","35.25559998","-81.60099792","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"5LL3","Mayhall Airport","small_airport","39.769500732421875","-88.09529876708984","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"KC83","Byron Airport","small_airport","37.82647","-121.621699","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"II42","Creekside Farm Airport","small_airport","40.068599700927734","-85.92220306396484","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"EGJJ","Jersey Airport","medium_airport","49.20790100097656","-2.195509910583496","JE","JEY","Jersey","Europe","49.214439","-2.13125","","","","","2020"
"KW94","Camp Peary Landing Strip","small_airport","37.30559921","-76.63749695","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"K12Y","Le Sueur Municipal Airport","small_airport","44.441071","-93.916283","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
"SNVU","Fazenda Itatuba Airport","small_airport","-20.43083381652832","-46.86000061035156","BR","BRA","Brazil","South America","-14.235004","-51.92528","9056.0","212559409.0","0.00523618316985441","0.01%","2020"
"YHBA","Hervey Bay Airport","medium_airport","-25.3188991547","152.880004883","AU","AUS","Australia","Oceania","-25.274398","133.775136","5687.0","25499881.0","0.022302064860616408","0.02%","2020"
"TX15","Beggs Ranch (Aledo) Airport","closed","32.751499","-97.612801","US","USA","United States","North America","37.09024","-95.712891","351354.0","331002647.0","0.10614839584651418","0.11%","2020"
