"flight_date","flight_dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2020-04-03","6","","LL10","9WI8","1"
"2020-04-03","6","","KCEU","SC24","4"
"2020-04-03","6","A320","KDTW","KBOS","1"
"2020-04-03","6","CRJ9","KDTW","CYYZ","2"
"2020-04-03","6","","KCCB","KSNA","1"
"2020-04-03","6","B738","KDEN","KMKE","1"
"2020-04-03","6","B737","KHOU","KAUS","3"
"2020-04-03","6","E145","KIAH","XA32","1"
"2020-04-03","6","BN2P","YBMC","YMYB","1"
"2020-04-03","6","C17","KRIV","KL65","1"
"2020-04-03","6","MD11","KPHL","05IN","1"
"2020-04-03","6","EC45","LL81","KC29","1"
"2020-04-03","6","","KOMA","KSTL","1"
"2020-04-03","6","B77W","OMDB","YMML","1"
"2020-04-03","6","B734","LIMC","EGNX","2"
"2020-04-03","6","E190","EPWA","LCLK","1"
"2020-04-03","6","A333","RCTP","RKSI","1"
"2020-04-03","6","A332","LKPR","OTHH","1"
"2020-04-03","6","B744","KMIA","EHAM","1"
"2020-04-03","6","","KBWI","KMCF","1"
"2020-04-03","6","","KEWR","KORD","1"
"2020-04-03","6","B738","KMSP","KPHX","2"
"2020-04-03","6","C208","21FD","KECP","1"
"2020-04-03","6","A319","KPIT","KUZA","1"
"2020-04-03","6","E75L","KPHL","KMCI","1"
"2020-04-03","6","EC35","EGTK","EGTK","1"
"2020-04-03","6","CRJ9","KDFW","KABQ","1"
"2020-04-03","6","","KU77","KU77","20"
"2020-04-03","6","B752","KLAX","KMSP","1"
"2020-04-03","6","B739","KPDX","KORD","2"
"2020-04-03","6","C206","58NC","KHKY","1"
"2020-04-03","6","","KARR","0IL9","1"
"2020-04-03","6","","KMQY","KMRC","1"
"2020-04-03","6","","CYTZ","CYTZ","1"
"2020-04-03","6","","CYOO","CYKF","1"
"2020-04-03","6","G280","KPHL","KATW","1"
"2020-04-03","6","B739","KSEA","KJFK","1"
"2020-04-03","6","","KATL","KLAX","2"
"2020-04-03","6","","TA97","KSGR","1"
"2020-04-03","6","","K1H8","K1H8","1"
"2020-04-03","6","B737","KMCF","KDCA","1"
"2020-04-03","6","","EDJG","EDNA","1"
"2020-04-03","6","A319","KLGA","KATL","2"
"2020-04-03","6","","KOPF","MROC","1"
"2020-04-03","6","DH8D","CYYC","CHF2","1"
"2020-04-03","6","","K1A4","16FL","1"
"2020-04-03","6","","KSRQ","86GA","1"
"2020-04-03","6","B738","CYXX","CJL5","1"
"2020-04-03","6","CL64","KBED","KTEB","1"
"2020-04-03","6","C680","KALB","KFLL","1"
"2020-04-03","6","C208","KCEW","KCEW","1"
"2020-04-03","6","LJ45","KVNY","KLAS","1"
"2020-04-03","6","B763","ZGSZ","RJBB","1"
"2020-04-03","6","","CAK3","CYYJ","1"
"2020-04-03","6","","KCLE","60CO","2"
"2020-04-03","6","B748","EGLL","LIMC","1"
"2020-04-03","6","","KVNC","KX49","1"
"2020-04-03","6","E75L","KMFE","KIAH","1"
"2020-04-03","6","","KABE","KSMF","1"
"2020-04-03","6","BE20","XS89","KCRQ","1"
"2020-04-03","6","C208","KPIT","KBFD","1"
"2020-04-03","6","CL30","KTEB","KPNE","1"
"2020-04-03","6","","KMTC","KONZ","1"
"2020-04-03","6","B737","KABQ","CO12","1"
"2020-04-04","7","CRJ7","KSNA","KSEA","1"
"2020-04-04","7","","MN18","KMSP","1"
"2020-04-04","7","A306","KATW","1WI6","1"
"2020-04-04","7","B737","KBUR","CO12","1"
"2020-04-04","7","B738","RJTT","RJTL","1"
"2020-04-04","7","","KOMA","60CO","1"
"2020-04-04","7","E145","KPHL","KSWF","2"
"2020-04-04","7","","KAUS","KATL","2"
"2020-04-04","7","","K79J","KDTS","1"
"2020-04-04","7","","KDVT","KP33","1"
"2020-04-04","7","E145","KORD","KDAY","1"
"2020-04-04","7","","KDVT","KE60","1"
"2020-04-04","7","PC12","63PA","KLUK","1"
"2020-04-04","7","","KDFW","KXNA","1"
"2020-04-04","7","EC35","KPDX","KONP","1"
"2020-04-04","7","BE30","CYXE","CYCD","1"
"2020-04-04","7","","KSAT","KDAL","1"
"2020-04-04","7","A321","KSAN","KMIA","1"
"2020-04-04","7","B737","KSAN","KAVQ","1"
"2020-04-04","7","B77L","VHHH","EDDF","2"
"2020-04-04","7","B744","KMIA","SBKP","1"
"2020-04-04","7","","PANC","KATL","1"
"2020-04-04","7","BE20","YBNS","YMEN","1"
"2020-04-04","7","E75S","KSDF","KVLL","1"
"2020-04-04","7","B738","ENUL","ENGM","1"
"2020-04-04","7","","EDTP","EDTM","1"
"2020-04-04","7","B763","KLAX","KUTA","2"
"2020-04-04","7","B77W","CYYZ","SPJC","1"
"2020-04-04","7","E75L","KIND","KORD","1"
"2020-04-04","7","MD88","KSRQ","KATL","2"
"2020-04-04","7","P28A","EDWI","EDWI","1"
"2020-04-04","7","B737","KBNA","KECP","2"
"2020-04-04","7","","EGTC","EGUY","1"
"2020-04-04","7","C25C","CYYC","CAV9","1"
"2020-04-04","7","","KHEF","KCGS","1"
"2020-04-04","7","","KABQ","KSLC","1"
"2020-04-04","7","","48CN","KMAE","1"
"2020-04-04","7","","EPWA","KORD","1"
"2020-04-04","7","","KMIA","KIAH","2"
"2020-04-04","7","","KRDG","KSMQ","2"
"2020-04-04","7","","KO27","KO27","2"
"2020-04-04","7","B737","KLAX","KHOU","2"
"2020-04-04","7","","RCTP","CYVR","1"
"2020-04-04","7","","KVNY","KL35","2"
"2020-04-04","7","B737","ENZV","ENGM","1"
"2020-04-04","7","CRJ9","KCLT","25GA","1"
"2020-04-04","7","","WV21","4MD8","1"
"2020-04-04","7","","KGEU","AZ31","1"
"2020-04-04","7","","FA54","KVNC","1"
"2020-04-04","7","B06","KOMA","KOMA","2"
"2020-04-04","7","","KTPA","KPHL","1"
"2020-04-04","7","","KLBE","PN66","1"
"2020-04-04","7","","CYYZ","CYVR","2"
"2020-04-04","7","","KLPR","K1G1","1"
"2020-04-04","7","A319","KPHL","KBOS","1"
"2020-04-04","7","A320","71MI","KRSW","1"
"2020-04-04","7","","KPOC","KCCB","2"
"2020-04-04","7","E170","KDEN","KOMA","1"
"2020-04-04","7","","KBXK","KSDL","1"
"2020-04-04","7","SR22","KLAS","KCMA","1"
"2020-04-04","7","","DE17","KMTN","1"
"2020-04-04","7","B737","KSDF","FL35","1"
"2020-04-04","7","","KFTW","KDTO","1"
"2020-04-04","7","EC45","77PA","PS66","1"
"2020-04-04","7","","KDKK","KIAG","1"
"2020-04-04","7","B744","KORD","KWRI","1"
"2020-04-04","7","","KDVT","KLGF","1"
"2020-04-04","7","","2WA1","2WA1","1"
"2020-04-04","7","","KABQ","KLAS","1"
"2020-04-05","1","A320","ZGSZ","UAAA","1"
"2020-04-05","1","CRJ9","KDFW","KSAF","2"
"2020-04-05","1","","KADS","TE52","1"
"2020-04-05","1","A319","KLAX","KOAK","1"
"2020-04-05","1","C550","KFTW","XA09","1"
"2020-04-05","1","A319","KORD","KDFW","2"
"2020-04-05","1","A321","KLAX","KMIA","5"
"2020-04-05","1","B738","YSCB","YMML","1"
"2020-04-05","1","A20N","EDDF","EDDH","2"
"2020-04-05","1","P28A","EKBI","EKBI","1"
"2020-04-05","1","A320","ULLI","USSS","1"
"2020-04-05","1","A319","KALB","KCLT","2"
"2020-04-05","1","C56X","KIAD","KPHL","2"
"2020-04-05","1","","EPMR","LKBR","1"
"2020-04-05","1","CL35","KBJC","KHYA","1"
"2020-04-05","1","","1NC5","KW40","1"
"2020-04-05","1","B752","KLAX","KMSP","1"
"2020-04-05","1","","KPJY","KSTL","2"
"2020-04-05","1","","74FL","KWDR","1"
"2020-04-05","1","R66","MY66","MY43","1"
"2020-04-05","1","","KFMY","FL73","1"
"2020-04-05","1","C56X","UUWW","LFPB","1"
"2020-04-05","1","R22","KABQ","KABQ","2"
"2020-04-05","1","BE9L","KJYO","06VA","1"
"2020-04-05","1","","KDEN","KSNA","2"
"2020-04-05","1","","GA77","K4A4","1"
"2020-04-05","1","","KPNE","KPNE","7"
"2020-04-05","1","A320","CYVR","CYYC","1"
"2020-04-05","1","","KPUJ","KMVC","1"
"2020-04-05","1","","KAPF","1WI6","1"
"2020-04-05","1","E170","KEWR","78MI","1"
"2020-04-05","1","","KPNE","PS03","1"
"2020-04-05","1","B752","KATL","KMSP","1"
