"Source","Target","flights_count"
"EDDF","KSFO","1.0"
"OBBI","OMSJ","1.0"
"KATL","VABB","3.0"
"EYVP","LKPR","1.0"
"EGTK","EDMA","1.0"
"EHAM","LPPT","5.0"
"ESMS","EGSS","1.0"
"ETSI","LFBO","1.0"
"LJLJ","LIMC","5.0"
"OTBH","ETAR","4.0"
"EGSS","EDDP","6.0"
"LTBA","EINN","4.0"
"EBBR","EIDW","1.0"
"ELLX","KORD","2.0"
"KSEA","RJTA","1.0"
"KTEB","EGGW","1.0"
"LSZI","EDNY","1.0"
"LEAL","EDLV","1.0"
"EGNJ","EDDK","1.0"
"ESSA","OTHH","8.0"
"LHPA","YTBF","1.0"
"ESSA","LSZH","4.0"
"LEJR","EBAW","1.0"
"OBBI","OMDB","20.0"
"EDDM","EBLG","3.0"
"LFML","LEVC","5.0"
"EGCC","LZIB","1.0"
"EBLG","LIMC","6.0"
"EGLL","KIAD","6.0"
"LEPA","EDDF","3.0"
"EBBR","KMIA","8.0"
"EGKB","LOLW","1.0"
"CYUL","KATL","4.0"
"LSZH","EGHH","1.0"
"EKCH","EDDM","1.0"
"EFHK","LKVO","1.0"
"KIAH","EBLG","4.0"
"RKSI","LFPG","4.0"
"EGBB","EHAM","2.0"
"LTBA","VOMM","1.0"
"LPPT","CCV4","1.0"
"LEMG","EGKB","1.0"
"LJLJ","EGGD","1.0"
"KBOS","EGLL","7.0"
"LEMD","EGCC","1.0"
"KORD","EHAM","17.0"
"EDDP","LHBP","10.0"
"CYYJ","KBFI","2.0"
"EBMB","EGGW","1.0"
"RJTT","KIAH","1.0"
"EDFH","EPWR","1.0"
"EGGW","ESSA","3.0"
"LFPB","EGKB","2.0"
"VIDP","LEMD","1.0"
"ENGM","RKSI","3.0"
"OMDB","LOWW","3.0"
"CYYZ","49OH","2.0"
"OMDW","UUEE","1.0"
"CYHM","MI53","1.0"
"ELLX","SBGR","1.0"
"CYYZ","KFTG","1.0"
"LFLL","EIDW","3.0"
"VIDP","LFPG","2.0"
"EDFH","EVRA","1.0"
"LFPB","EDSK","1.0"
"CYYC","KDEN","1.0"
"UUEE","LSGG","1.0"
"KTEB","TXKF","1.0"
"ELLX","OMDB","7.0"
"LFPG","CYUL","10.0"
"KADW","ETAR","1.0"
"LIME","LMML","2.0"
"FABA","EHAM","1.0"
"EDDL","LEBL","3.0"
"KSEA","CFH8","1.0"
"RJBB","VTBD","1.0"
"LOWW","EBAW","1.0"
"LZIB","EGSS","1.0"
"LDZA","EDDM","1.0"
"LEZL","LFBO","1.0"
"ENGM","LHBP","1.0"
