"Source","Target","flights_count"
"EDDM","LFMY","8"
"CYYZ","KM33","1"
"VHHH","RCTP","74"
"FARA","VHSK","2"
"OMDW","EKCH","1"
"BIKF","ENKJ","12"
"EGGP","EICK","4"
"EGLL","LETO","1"
"LFPG","KCLT","7"
"EBBR","LFML","7"
"KLAX","LIRF","8"
"EDDF","EBMB","31"
"VTBS","RPLL","1"
"LIME","EDDN","6"
"EGGW","LBSF","4"
"EFMA","ESSA","11"
"LIMC","EDDS","6"
"RKSI","KMSP","5"
"OERY","OBKH","1"
"LIRA","LFOB","7"
"SPST","SLLP","1"
"KEWR","EIDW","9"
"UUEE","EDDV","7"
"EDDF","EIWT","13"
"KDEN","BIKF","7"
"KSNA","CYVR","5"
"LEAL","LSGG","4"
"EDCT","OMDW","2"
"LIME","LKCM","1"
"RJBB","KSEA","5"
"BKPR","LSGG","1"
"EHAM","KHHR","15"
"EGSC","LIML","1"
"EKSP","EDXJ","1"
"EDJA","LPFR","3"
"ETNW","LEMD","1"
"LFPG","VHSK","5"
"EGGP","LFPB","2"
"EGKK","57FA","1"
"EDDM","LIDW","1"
"OMDB","FARA","10"
"LFLL","EBLG","5"
"LDSR","EHAM","3"
"LIRP","EBMB","1"
"LIPZ","LFBD","5"
"KBOS","LFPG","6"
"LIRA","LPAR","8"
"EBMB","EDAM","4"
"LSZH","BKPR","2"
"OETH","EDDF","2"
"EBOS","EHMZ","1"
"LSGG","ENSI","2"
"LFMU","EDLV","1"
"OMDW","LTBW","1"
"LGAV","LTBW","1"
"EGLF","LFMV","1"
"EDDP","71KY","1"
"EGPK","LIRP","1"
"LIPZ","ENKJ","1"
"KLAX","WIDD","1"
"LIRF","OMDM","1"
"LFBD","LSZG","1"
"EGSS","LFDH","1"
"LFMV","EBMB","1"
"KJFK","EDDM","6"
"EGPH","KJFK","7"
"EPWA","LOWW","21"
"OBBI","VABB","13"
"KJFK","EGLL","136"
"LIME","ESKX","2"
"EGGP","EHAM","15"
"UUWW","LOWW","10"
"SBKP","EHAM","5"
"71KY","CYHM","5"
"LFPG","KHHR","24"
"LOWW","LIMC","44"
"EDAM","LFPG","6"
"LOWW","EGKK","27"
"EDDT","LFPB","1"
"EGLL","KSJC","6"
"71KY","RKSI","7"
"LPPT","LFBO","5"
"LPPT","EGSS","20"
"EGGW","LSZH","16"
"RKSI","LKKL","6"
"LPFR","EGAC","3"
"EHAM","LOWS","5"
"OTHH","KDFW","5"
"EGJB","EGGW","1"
"ESGG","LDSP","2"
"OMDB","LIRF","21"
"WIII","OMDB","2"
"EHAM","LFML","8"
"UAAA","LTBW","2"
"VHHH","71KY","1"
"BIKF","KTEB","2"
"KPHX","CYVR","19"
"SAEZ","MMMX","9"
"EBBR","ESSB","19"
"ESSA","EBBR","6"
"ENGM","LSZH","7"
"EHEH","EPMO","4"
"LOWW","LKPR","4"
"KSAN","CYYZ","6"
"EGNX","LEAL","22"
"LEBL","EITM","1"
"KSEA","RCPO","2"
"LEMP","EGSS","5"
"EGLL","LIPM","5"
"LCLK","LLBG","4"
"EPWR","LEMU","1"
"LIMC","LSZV","1"
"LPPT","LFRS","2"
"EDDF","LKVO","1"
"ZBAA","CYUL","1"
"KHPN","EBBR","1"
"LGRP","EFPI","1"
"ELLX","LTBW","2"
"EDDH","LEMG","4"
"ESKN","LDRG","2"
"LPAR","LOWW","2"
"EHAM","35MN","1"
"KDOV","EDFH","1"
"LFOB","LILV","1"
"LFTW","EGSS","1"
"EHEH","LD57","1"
"EBBR","LICJ","2"
"LIPZ","ESSB","1"
"LFPB","EDLN","1"
"LOWW","LPPS","1"
"EDVE","EPPO","2"
"EPMO","EGAD","1"
"KCVG","CYHM","1"
"LFPG","LMML","1"
"EDMO","EGLC","1"
"WBKK","YPPH","1"
"SUBL","SABE","1"
"KNYL","EGVN","1"
"LOWG","LGIR","1"
"LSZH","LTBU","1"
"EGNM","EIDW","10"
"CYUL","EHAM","5"
"EKCH","EGCC","28"
"EHAM","LOWW","62"
"LIMC","EDDT","13"
"LIRF","LEMG","10"
"KLAX","CYVR","57"
"LIPH","LROP","7"
"OLBA","LFPG","16"
"BIKF","EDDT","7"
"EGLL","LEMG","4"
"LPPT","EPWA","9"
"ESGG","LPFR","1"
"LEBL","EFHK","17"
"SAEZ","EDDF","7"
"LEBL","LGSR","2"
"EGLL","FAGM","7"
"FAGM","KIAD","2"
"VHHH","PANC","25"
"EBBR","EDDH","17"
"SAEZ","SBMT","1"
"LSZI","EDTF","1"
"EDDF","KSFB","1"
"EVRA","EDDL","6"
"CYVR","KDWH","3"
"EGAA","LPFR","8"
"EGLL","KDWH","4"
"EDDL","LFFE","1"
"ULLI","ZBAA","1"
"LSGG","LEMG","9"
"LFBO","EDDT","4"
"LSGG","EKCH","10"
"OTBD","EGLL","17"
"UUWW","OMDB","15"
"KISM","MMMX","6"
"WMKK","UUEE","1"
"EFHK","LKSN","5"
"EGCN","LHBP","2"
"EDDF","LIPQ","3"
"CYUL","LPPT","1"
"RPLL","KSQL","2"
"LSGG","EGMC","5"
"LFPB","LSZA","1"
"CYYZ","KFME","1"
"EGCN","EVRA","1"
"EGNX","LFLB","1"
"LYBE","EGNX","1"
"OMDW","EDDT","1"
"EDDP","EKVD","3"
"EIDW","YSSY","1"
"OMAA","EGLL","4"
"LRBS","LKBU","1"
"SBKP","GOBD","4"
"EDDS","LICZ","2"
"OERK","KIAD","3"
"EVRA","LKPR","2"
"IS40","CYUL","1"
"LEMD","LBSF","3"
"LIRF","KIAD","7"
"EBBR","UKBB","11"
