"Source","Target","flights_count"
"LOWW","ELLX","8"
"KPBI","TJSJ","6"
"EDFH","EPGD","1"
"KCLT","CYYZ","14"
"EINN","KJFK","1"
"LTFM","EDDM","12"
"CYVR","KPHX","1"
"GQNO","LFPG","1"
"OTHH","EPWA","4"
"KMSP","CYYC","8"
"TJSJ","KDTW","6"
"SKGY","KFXE","1"
"ESSP","EKVH","1"
"EGCC","EBBR","8"
"SKBO","EHAM","8"
"KJFK","LIMC","18"
"LROP","EHAM","19"
"LFMD","EDTF","1"
"LIMC","EBMB","8"
"UAAA","EBMB","1"
"MPTO","KFLL","5"
"EDDL","LOWS","2"
"EYKA","LGAV","1"
"EDDM","EHRD","1"
"CYYZ","82FL","3"
"LGAV","LIPZ","2"
"EGFF","LEAL","1"
"LPMA","EDDF","2"
"LIML","UMMS","1"
"YSSY","NZCH","3"
"LKTB","EPCH","1"
"ESSA","LPPT","3"
"SBKP","SADS","1"
"SEAS","FD38","1"
"LEIB","UUWW","1"
"TBPB","MPMG","1"
"OTHH","EGPH","2"
"ENBR","EPWA","1"
"LEPA","EDDC","4"
"UUDD","LLBG","3"
"LRBS","LHBP","1"
"OMDW","EDDN","1"
"EDDS","LTFM","7"
"EVRA","UKBB","4"
"LSZH","EINN","1"
"LFRS","ELLX","1"
"LFQM","LSGG","2"
"LEBL","LIRA","1"
"RJTY","13CL","1"
"CYLS","PN40","1"
"LIRF","LFMN","1"
"SADF","SUSJ","1"
"LSGG","LEAL","3"
"LIMJ","LSZR","1"
"CYUL","SEQM","1"
"CYUL","KBDL","1"
"LGAV","EYKA","1"
"EDDN","LOIR","1"
"LFPO","LIRP","1"
"CYQG","KPTK","1"
"KSFO","EGLL","7"
"EDDH","LSZH","15"
"MMUN","KMMU","1"
"UUWW","OMDW","19"
"EDDK","LFML","3"
"VIDP","OTHH","27"
"EGKK","SC40","8"
"EDDF","OMDW","2"
"EFHK","EDDM","10"
"OMDB","OTHH","20"
"WBSB","WSSS","7"
"FACT","LTFM","3"
"EKCH","EDDM","9"
"LSMF","EKOD","2"
"RJTT","RCSS","9"
"WIHP","WSSL","2"
"OMSJ","OTHH","5"
"LIPE","LEMD","7"
"LFMN","EGKB","5"
"EDFH","LEPA","4"
"KIAG","CYSN","6"
"LFRN","EGJJ","2"
"LEBL","UKBB","1"
"VIDP","CYYZ","11"
"KNYL","EGUN","1"
"LBSF","LOWW","1"
"EDLV","LEPA","2"
"TBPB","TVSM","3"
"EGJB","EGSH","1"
"EPGD","EVRA","1"
"ETAR","LRCK","1"
"LSGG","EDQO","1"
"TVSV","KMIA","2"
"UUWW","LEMG","2"
"KHKY","MMPB","1"
"EHRD","EBBE","1"
"LPFR","LFHH","1"
"LFBH","EBAW","1"
"EGKK","EETN","1"
"KHOU","MMUN","2"
"OTHH","VMMC","2"
"EETN","EGKK","1"
"KHSV","EBMB","1"
"LFPG","EVRA","3"
"LFPB","LEIB","4"
"EBLG","LSGK","1"
"KPHL","CYYZ","1"
"LFKF","LEPA","1"
"EBMB","EHRD","1"
"EGSS","LSGK","1"
"KIAD","CYUL","1"
"EDJA","LKPR","1"
"OTHH","EBFN","1"
"EPPO","ETOU","1"
"LPPT","LSZH","15"
"LTFM","EDDF","21"
"EGCC","LFPG","10"
"KLAX","MMUN","20"
"OMDB","LTBA","2"
"ESSA","EDDF","21"
"WSSS","WMKK","30"
"MPTO","KMIA","53"
"EDDF","LEBL","21"
"KEWR","LSZH","6"
"VABB","WSSS","18"
"YSSY","KHHR","6"
"KJFK","MMUN","25"
"EBMB","LFNR","2"
"EGLL","KEWR","9"
"EDDM","LIRQ","6"
"LOWS","EDDP","1"
"OMDW","VHHH","11"
"LEMG","LKMT","1"
"EGCN","EPGD","1"
"KPBG","CYUL","2"
"EIWF","EGNR","1"
"LIPX","EDDL","1"
"VHHH","WSSL","3"
"KBCT","CYUL","2"
"EBMB","LFHS","3"
"EHRD","LIPE","1"
"LTFM","EYVI","4"
"KADW","CYOW","2"
"KRZR","MYGF","1"
"EKCH","KT67","1"
"KEWR","TXKF","5"
"VHHH","RJAK","6"
"LFPO","EHAM","1"
"EGCN","EDDF","2"
"RJBB","ZGGG","4"
"WMKK","VOBL","4"
"RKSI","WIII","1"
"EHAM","EPLE","1"
"TLPC","TVSA","2"
"EDMO","LOWS","1"
"LEPA","EGLF","1"
"EIDW","EPMO","2"
"KSRQ","CYYZ","2"
"SKBO","FL35","1"
"ENZV","EDDF","1"
"LIPL","EDDP","2"
"EBLG","LCLK","2"
"ESGG","EPMO","2"
"EDDB","EFNS","1"
"EPKT","ESKN","2"
"KBOS","OMDB","4"
"OKBK","OTBD","2"
"EBBR","LEIB","1"
"KHRT","EDFH","1"
"WSSS","VTBT","1"
"LTFM","LBLS","2"
"LTBU","UUWW","1"
"MGGT","KSAF","1"
"CYUL","EBBR","2"
