"Source","Target","flights_count"
"GR","TR","1"
"AT","QA","4"
"DE","AU","3"
"CA","CO","1"
"AR","CA","1"
"SE","CZ","3"
"KE","DE","3"
"IL","NL","1"
"TH","DE","10"
"PL","BE","7"
"US","DO","3"
"FI","SK","1"
"CZ","RS","1"
"KZ","RO","1"
"CH","QA","8"
"AE","BY","1"
"TR","DK","1"
"QA","SE","8"
"NL","NO","5"
"QA","MY","7"
"BE","TR","9"
"MA","AT","1"
"DE","KE","1"
"DK","PE","1"
"DE","BG","1"
"AR","CO","4"
"RU","SE","7"
"SN","IT","1"
"CR","CO","1"
"IL","RS","2"
"QA","CZ","5"
"MY","SG","13"
"CZ","IS","2"
"SG","LU","1"
"HU","QA","4"
"KZ","ES","1"
"KZ","TR","6"
"AT","NO","2"
"IS","US","16"
"QA","GB","54"
"TR","IN","9"
"HU","RS","5"
"CZ","FR","2"
"RO","NL","9"
"KZ","GR","4"
"TW","MY","6"
"NO","SK","1"
"BE","DK","4"
"FR","IE","10"
"ZA","DE","5"
"US","CH","5"
"TR","CH","3"
"NL","CH","11"
"PT","ES","8"
"IN","NL","2"
"LT","PL","5"
"LU","GB","2"
"JP","FR","2"
"DE","MT","9"
"PH","PT","1"
"LV","ES","2"
"LU","ES","1"
"FR","AE","12"
"ES","FI","2"
"BE","KR","5"
"RS","SI","1"
"SG","JP","14"
"HK","ES","1"
"HK","FR","2"
"US","TW","76"
"CH","GB","34"
"VC","BB","2"
"HR","SI","1"
"CZ","SI","1"
"NL","ZA","5"
"KZ","CN","4"
"GB","SE","19"
"DK","TH","2"
"AT","BE","8"
"DE","CN","6"
"DE","IN","14"
"JP","FI","2"
"DE","AR","3"
"QA","MO","2"
"AE","BH","25"
"QA","TR","10"
"PH","KR","10"
"DE","CZ","10"
"RU","AM","4"
"AE","FR","14"
"BY","GB","7"
"HR","QA","2"
"CN","LT","1"
"ES","IS","1"
"DE","MY","1"
"CZ","AT","1"
"ES","KR","1"
"DE","FI","12"
"HK","TR","4"
"NL","BY","6"
"DE","NL","48"
"BR","LU","2"
"MO","JP","1"
"US","CR","17"
"HU","TR","4"
"LT","NL","1"
"PL","KR","1"
"PL","SE","1"
"GR","FR","1"
"BH","TR","4"
"GB","BH","5"
"AM","LK","1"
"BD","SG","1"
"HK","AT","2"
"MA","KR","2"
"AU","IL","1"
"PL","EE","5"
"SA","ES","2"
"DZ","CH","1"
"KR","AE","2"
"TH","NL","5"
"GB","FR","60"
"US","BM","7"
"BH","SA","11"
"US","RU","6"
"IN","GB","4"
"NL","EE","1"
"TH","US","2"
"IS","FR","1"
"RU","IL","1"
"FR","KE","1"
"DE","GR","11"
"SA","BD","1"
"CA","NZ","5"
"IE","FR","11"
"GB","FI","14"
"FI","SE","37"
"QA","AU","50"
"BG","TR","1"
"AE","ZA","1"
"CN","ES","2"
"IE","DE","35"
"LT","CZ","2"
"GB","AT","4"
"RU","FR","6"
"RU","SG","2"
"DE","IS","3"
"FI","PL","1"
"AE","RU","4"
"RU","NL","9"
"DE","AT","49"
"TR","NL","5"
"RU","BE","3"
"IT","SK","1"
"NL","AT","2"
"CZ","PL","1"
"SG","LK","1"
"PL","CH","5"
"IE","ES","6"
"PL","LT","5"
"LU","AE","13"
"SG","PH","4"
"PH","AU","1"
"IS","BE","6"
"BE","SA","3"
"RU","RO","1"
"CO","ES","2"
"IN","TH","1"
"GB","NL","39"
"BG","IL","1"
"FI","FR","8"
"HK","BN","2"
"FI","EE","3"
"HK","LK","2"
"NL","DE","57"
"DE","PT","20"
"GB","BR","7"
"US","IT","11"
"SE","QA","8"
"NZ","CN","1"
"BR","IT","3"
"KR","DE","22"
"TW","HK","103"
"DE","QA","49"
"US","PL","6"
"NO","DK","28"
"PH","SG","3"
"TW","TH","38"
"GB","BY","4"
"CZ","SE","1"
"TR","BY","3"
"CA","IS","4"
"UA","AT","1"
"CH","SE","5"
"HU","ES","2"
"BE","CY","2"
"AE","TH","2"
"CN","JP","13"
"BH","GB","4"
"SA","AE","24"
"UA","TR","6"
"FR","GR","4"
"US","NO","1"
"QA","CA","4"
"DE","CR","3"
"DZ","IE","1"
"NO","NL","4"
"PL","UA","6"
"PH","US","1"
"FI","LT","3"
"FR","AT","3"
"EE","BE","3"
"GB","SA","1"
"IN","MY","7"
"CH","PL","4"
"JP","HK","27"
"GB","SG","15"
"IL","AT","6"
"US","CO","46"
"CY","FR","1"
"MY","QA","7"
"ES","MT","2"
"TW","AU","11"
"NL","PL","2"
"AE","GR","1"
"IT","GB","71"
"TR","HU","1"
"LU","SA","4"
"US","JE","1"
"EE","FI","2"
"JP","CN","7"
"RU","EE","2"
"FR","TW","4"
"JP","GB","7"
"US","NZ","12"
"PL","IE","8"
"GB","PT","20"
"HK","MY","34"
"SE","RU","7"
"MY","AE","1"
"GR","GB","3"
"IT","LV","1"
"FR","HU","1"
"KR","GB","12"
"KR","US","158"
"AM","RU","4"
"IT","ES","8"
"QA","PT","1"
"ES","DE","91"
"RU","QA","6"
"DE","NO","13"
"DE","BE","66"
"BN","SG","3"
"CZ","TR","6"
"LU","QA","1"
"DK","BE","5"
"ES","NL","14"
"RO","TR","4"
"US","CZ","1"
"SI","NL","1"
"BR","DE","5"
"GR","IE","2"
"CN","CZ","1"
"FI","IN","1"
"IE","US","39"
"AU","HK","39"
"IE","GB","122"
"QA","HR","1"
"HU","LU","3"
"JP","TH","16"
"HR","IT","2"
"KZ","HK","8"
"FI","JP","6"
"AT","DE","60"
"IS","HU","2"
"HU","AT","5"
"HK","HU","2"
"JP","TW","41"
"NO","GB","4"
"MA","ES","5"
"RS","AT","5"
"SG","AE","8"
"IL","HU","1"
"SN","FR","1"
"BE","CZ","5"
"BN","PH","2"
"TH","AE","7"
"IN","TR","12"
"SN","DE","7"
"AE","HU","3"
"SN","GB","1"
"NL","KR","8"
"GR","QA","4"
"BH","DE","13"
"QA","NL","27"
"KZ","RU","1"
"TH","JP","22"
"TH","CZ","1"
"TH","LT","1"
"DK","FR","4"
"BY","IN","1"
"QA","BE","12"
"CA","AU","6"
"NO","PL","8"
"PL","JE","1"
"SG","IN","2"
"IT","KE","1"
"LU","GR","1"
"NL","SI","1"
"NL","SG","3"
"TR","FI","2"
"CH","RO","4"
"AU","QA","54"
"NL","RO","12"
"LK","SG","1"
"AE","RO","2"
"RU","CN","5"
"BR","CO","14"
"TH","SE","1"
"RO","SK","1"
"MY","NL","3"
"DE","RU","39"
"HU","SE","3"
"PH","AE","1"
"BE","TH","2"
"FI","ES","2"
"BE","PT","4"
"US","CV","1"
"CA","US","607"
"AU","US","9"
"US","BO","2"
"CZ","TH","2"
"FI","CH","1"
"NO","TR","3"
"PT","IT","1"
"SE","HR","1"
"NL","JP","3"
"SG","QA","8"
"GB","QA","45"
"SG","DE","4"
"SE","GB","17"
"AE","DE","37"
"TH","GB","4"
"NL","HU","7"
"NL","IN","1"
"FR","CA","10"
"US","NL","82"
"CH","PT","9"
"BE","NO","8"
"MX","US","17"
"NL","TR","12"
"TH","PL","2"
"CH","TR","7"
"TW","JP","50"
"FR","BE","28"
"PT","IS","1"
"BY","AT","2"
"BO","US","3"
"CA","HK","5"
"KZ","GB","1"
"AU","LK","3"
"CR","BR","1"
"FI","DK","6"
"NL","QA","19"
"BO","ES","1"
"LT","IE","1"
"GB","IL","3"
"HK","IT","4"
"US","PT","3"
"AM","DE","3"
"DK","PL","2"
"ES","UA","1"
"QA","PH","14"
"IE","NO","1"
"DE","HK","30"
"TR","KZ","13"
"RO","AE","1"
"ES","PT","11"
"SA","FR","1"
"PT","DK","1"
"CZ","FI","1"
"CH","LU","1"
"DE","LT","14"
"AM","IN","1"
"US","SN","2"
"HK","BE","9"
"TW","NL","4"
"QA","SA","1"
"BR","QA","2"
"TH","RU","8"
"CH","TH","6"
"TR","CZ","1"
"ZA","MT","1"
"KR","TW","34"
"LT","LV","4"
"IE","GR","3"
"DE","DO","2"
"PL","DE","37"
"LU","US","12"
"HK","PH","16"
"BE","IL","1"
"GB","IN","2"
"QA","FI","7"
"CN","FR","2"
"RS","TR","1"
"ES","SK","2"
"CZ","AM","2"
"NO","QA","10"
"CO","AR","4"
"SI","GB","1"
"GB","PL","36"
"AU","MY","21"
"SG","BN","2"
"LU","TH","3"
"AU","JP","9"
"ES","HU","3"
"QA","BR","2"
"NZ","MY","1"
"JP","IN","10"
"BN","HK","2"
"CH","AT","4"
"US","CN","12"
"CN","IT","3"
"KR","CA","7"
"CH","RS","1"
"MY","TH","4"
"AU","CH","1"
"DK","RO","2"
"CZ","HR","1"
"RU","MT","1"
"AT","CY","1"
"BE","ES","25"
"NL","SA","1"
"PT","BR","4"
"DZ","BE","1"
"FR","SN","3"
"RO","HU","2"
"KR","HK","63"
"NL","US","74"
"PR","US","134"
"AM","BY","1"
"AT","BY","1"
"AU","NZ","35"
"FR","RU","6"
"FR","LU","7"
"EE","SE","6"
"TR","IE","4"
"BY","FR","6"
"HR","PT","1"
"SE","DK","26"
"NL","RU","5"
"IL","KZ","1"
"DE","BR","6"
"CA","MX","1"
"PH","QA","16"
"RU","IN","2"
"NL","TW","5"
"FR","GB","57"
"IN","US","4"
"KR","SG","19"
"RU","LT","1"
"TW","FR","3"
"EE","NL","1"
"TH","FI","4"
"MA","FR","6"
"PL","IS","2"
"JP","DE","2"
"IE","PL","5"
"AE","QA","4"
"KZ","CZ","1"
"GB","HK","27"
"BY","AM","1"
"PL","CZ","4"
"SG","NZ","2"
"PT","NL","4"
"CA","KR","9"
"CZ","IT","1"
"MY","GB","8"
"BH","KR","2"
"BE","HK","2"
"CZ","DE","11"
"RS","DE","3"
"JP","BE","6"
"CN","KZ","2"
"IT","BE","20"
"NL","MY","4"
"HU","TH","1"
"NL","ES","14"
"SG","AU","46"
"CA","TR","3"
"BH","QA","3"
"US","LU","34"
"TR","FR","2"
"LK","AU","2"
"CN","MY","11"
"QA","TH","16"
"GB","IM","1"
"CH","KR","1"
"ES","PH","5"
"ES","HR","1"
"TR","US","9"
"NZ","US","7"
"KR","TH","24"
"MY","US","1"
"TH","MY","4"
"DE","SG","9"
"BE","RO","7"
"CH","AR","1"
"MA","BE","1"
"HU","NL","11"
"TR","NO","2"
"CH","SG","2"
"CN","QA","1"
"HU","IS","2"
"AU","SG","36"
"IE","CA","5"
"AT","DK","2"
"CY","GR","12"
"NL","TH","3"
"SK","FI","1"
"IS","CA","2"
"TR","SE","2"
"US","SG","7"
"TR","GB","6"
"SE","HK","1"
"SI","BE","1"
"CZ","GR","1"
"RO","CH","3"
"CO","US","76"
"BR","AE","1"
"GB","LV","1"
"RO","CZ","2"
"HU","CZ","10"
"IL","FR","1"
"RU","SK","1"
"CZ","RO","1"
"CZ","SK","1"
"IT","DE","103"
"GR","BE","9"
"US","KR","187"
"RO","GB","43"
"IR","AE","3"
"CV","FR","1"
"JE","PL","1"
"FR","QA","31"
"FR","DE","122"
"TR","IT","3"
"IT","SN","1"
"TH","NZ","2"
"BE","US","32"
"US","PR","197"
"NO","DE","12"
"DE","TH","18"
"QA","SG","12"
"UA","DE","6"
"SA","DE","2"
"HR","GB","4"
"CY","GB","2"
"HK","GB","21"
"BE","AE","17"
"AR","US","9"
"TW","DE","3"
"SG","HK","62"
"JP","CA","2"
"CV","IE","1"
"CZ","DK","1"
"BE","GB","36"
"ES","DK","5"
"IN","JP","10"
"TR","CY","2"
"GB","KR","11"
"BH","IN","3"
"UA","KZ","1"
"TR","IL","1"
"FI","RU","2"
"SI","HU","1"
"NL","IT","4"
"AT","SI","1"
"AE","SG","16"
"AT","ES","5"
"HK","BH","7"
"LU","TW","5"
"CH","BE","5"
"AE","IN","18"
"US","QA","24"
"LU","FR","10"
"SE","FR","7"
"SG","KR","16"
"NL","FI","1"
"RO","US","1"
"IE","SA","1"
"IE","AT","3"
"ZA","AE","1"
"BR","PT","5"
"ZA","BR","1"
"CZ","GB","3"
"IS","PL","2"
"MT","ES","1"
"IT","AT","1"
"IE","NL","13"
"DZ","CA","2"
"HK","CH","1"
"CA","BM","2"
"DE","SK","7"
"BH","PH","2"
"IL","BY","1"
"FR","MT","1"
"TW","AE","3"
"AE","TW","4"
"IN","CN","1"
"KR","HU","3"
"IT","PH","1"
"BE","PL","8"
"BD","HK","1"
"IT","QA","11"
"GB","UA","2"
"DK","RU","1"
"SE","US","3"
"JP","RU","2"
"HK","SE","1"
"RU","TH","8"
"LT","BE","1"
"DE","ES","94"
"IN","AT","1"
"LV","IT","1"
"ES","FR","39"
"ES","US","17"
"LU","RU","17"
"KR","IN","2"
"CA","NL","7"
"SE","HU","3"
"ES","IN","1"
"GB","SN","3"
"IL","HK","3"
"RU","BR","1"
"IN","DE","18"
"GB","ES","74"
"GB","AE","9"
"US","CA","573"
"HK","NZ","4"
"DE","SE","29"
"CA","PT","6"
"PH","BN","2"
"RU","PL","2"
"IN","FI","1"
"AE","BE","9"
"GB","JE","6"
"LT","TR","1"
"GB","KZ","1"
"BH","HK","21"
"AU","BN","2"
"GB","US","176"
"AM","CZ","2"
"DE","CH","72"
"BB","CA","1"
"IT","TR","6"
"TR","ES","7"
"CH","NL","11"
"NZ","SG","4"
"PL","SG","1"
"TR","RU","2"
"RS","FR","1"
"IN","AE","26"
"IT","PL","1"
"SN","US","2"
"IT","HK","4"
"HK","CA","5"
"SG","SA","1"
"AT","GR","1"
"MA","QA","1"
"IN","BY","1"
"JP","NL","4"
"ES","SE","16"
"KR","DK","1"
"DE","LK","2"
"GR","PT","1"
"AU","KR","13"
"QA","IE","7"
"MY","TR","3"
"BB","US","1"
"KR","CZ","1"
"FR","LT","1"
"IN","KR","1"
"BY","SE","3"
"AE","LU","9"
"RU","NO","2"
"HU","FR","1"
"SG","CA","1"
"BY","TR","6"
"KZ","AE","1"
"BR","FR","3"
"HU","DE","21"
"AE","SA","18"
"TR","AT","3"
"NZ","HK","5"
"SI","HR","2"
"LT","DE","6"
"RU","CZ","2"
"IL","PL","1"
"BM","PR","1"
"DE","BY","12"
"HU","BE","7"
"SG","GB","15"
"CA","DZ","2"
"TH","CH","4"
"BE","RU","6"
"HU","PL","1"
"GR","PL","2"
"BR","GB","8"
"RO","PT","1"
"SK","ES","1"
"NO","KR","3"
"TW","KZ","1"
"BE","AT","4"
"VC","US","1"
"FR","US","24"
"GB","SI","2"
"BY","CZ","5"
"BH","BE","1"
"QA","AT","4"
"QA","RO","3"
"AE","BR","1"
"GB","HU","24"
"US","AU","22"
"AE","ES","3"
"US","AR","5"
"SE","CH","7"
"TR","LT","2"
"SG","CH","4"
"TR","SN","3"
"JP","US","48"
"BE","ZA","3"
"HK","KZ","5"
"BR","MT","1"
"RU","US","5"
"HR","NL","5"
"CA","FR","10"
"DE","RO","5"
"BY","FI","1"
"SA","GB","2"
"DE","AE","35"
"GB","CA","24"
"MT","AE","1"
"AE","NL","14"
"AT","HU","2"
"BD","QA","2"
"AE","HK","50"
"RO","ES","1"
"ES","RO","1"
"TW","CA","5"
"GB","GE","1"
"ZA","BE","1"
"ES","BY","1"
"DE","DZ","1"
"RU","HK","7"
"AE","CZ","1"
"AT","GB","2"
"DE","KZ","2"
"CH","GR","3"
"EE","BY","2"
"AR","BE","1"
"AU","AT","1"
"HK","LU","11"
"GB","GG","19"
"LU","KR","1"
"SE","RO","4"
"EE","GB","1"
"RU","LK","1"
"BE","HR","2"
"CH","AE","1"
"PT","IE","7"
"CH","ES","5"
"KZ","FR","1"
"FR","SI","1"
"QA","FR","28"
"LV","LT","8"
"FR","NL","18"
"US","BR","54"
"NL","HK","5"
"FI","DE","12"
"CZ","CH","3"
"IT","KR","8"
"LU","SG","5"
"FR","TH","2"
"QA","HK","25"
"SK","DE","12"
"HK","MO","4"
"CN","SG","11"
"SG","TH","25"
"IT","DK","1"
"CN","MO","3"
"UA","CH","1"
"SE","TR","1"
"ES","CA","2"
"FR","DK","4"
"FI","AT","1"
"US","RO","1"
"BB","PR","3"
"AU","TW","11"
"LU","IT","7"
"LK","GB","2"
"KR","RU","18"
"SG","NL","4"
"BG","DE","1"
"TH","KR","26"
"AR","AT","1"
"CA","DE","22"
"PT","TR","1"
"UA","IT","1"
"TW","PH","11"
"JP","SG","7"
"HK","RU","9"
"FR","HK","3"
"ES","AT","2"
"SK","RU","1"
"CY","IL","1"
"RU","ES","6"
"US","HK","90"
"RU","TW","1"
"DK","SE","32"
"BE","GR","14"
"BY","DE","11"
"HK","DE","41"
"RS","HR","4"
"CH","CY","1"
"TH","IN","6"
"RO","RS","1"
"NO","SE","28"
"JP","PH","8"
"HK","KR","47"
"KR","QA","11"
"HK","QA","31"
"AE","IT","6"
"BY","HU","2"
"TH","FR","1"
"HR","BE","2"
"CA","BB","2"
"FR","KR","6"
"TH","QA","17"
"PL","AR","1"
"NO","ES","1"
"US","FR","27"
"RU","DE","32"
"CA","SG","2"
"MY","TW","9"
"CN","PH","4"
"TH","SG","8"
"IT","SI","5"
"PT","US","2"
"IN","FR","3"
"SG","CN","17"
"IN","AM","2"
"MO","HK","6"
"RS","CZ","1"
"FR","HR","2"
"AU","CA","6"
"HK","AE","56"
"CN","RU","4"
"DE","US","134"
"PH","AT","1"
"TH","TW","29"
"DZ","DE","1"
"LU","NL","1"
"KE","IT","2"
"CZ","NL","3"
"FI","QA","7"
"CH","CA","2"
"US","IN","6"
"SG","MY","15"
"IL","PT","1"
"ES","AR","2"
"CA","CZ","4"
"ID","SG","3"
"DK","TR","2"
"US","ES","16"
"IT","NL","5"
"RU","KR","6"
"AM","CH","1"
"FI","BE","5"
"DK","CZ","3"
"NL","LU","2"
"FR","BY","5"
"BR","US","43"
"HK","CN","6"
"CH","UA","1"
"DK","GB","16"
"TR","GR","2"
"TH","AU","1"
"AT","TR","2"
"SK","IE","1"
"IL","UA","1"
"GB","DE","190"
"DZ","FR","10"
"AT","FR","4"
"SI","IT","7"
"IN","PL","1"
"MY","JP","4"
"LK","QA","10"
"HR","RS","5"
"IT","CZ","1"
"RU","GB","5"
"IT","RU","15"
"US","BB","10"
"MT","IT","5"
"GB","RU","3"
"GB","CH","28"
"CA","JP","5"
"DZ","ES","1"
"SI","FR","1"
"IE","PT","7"
"QA","NZ","8"
"SA","BE","2"
"LK","HK","2"
"CZ","BY","4"
"RS","BE","1"
"SA","TR","1"
"GG","GB","14"
"AT","AE","3"
"GB","RO","45"
"DE","ZA","4"
"AU","PH","1"
"EE","RU","4"
"ES","MA","1"
"IT","AE","2"
"PH","ES","4"
"GR","AT","1"
"TR","BE","9"
"SG","US","3"
"QA","IT","7"
"DO","CH","1"
"NL","CZ","2"
"SI","DE","7"
"IN","QA","24"
"CN","TW","8"
"TR","MT","1"
"BH","AE","23"
"DE","CA","26"
"AT","CH","4"
"RU","IT","8"
"HK","TH","51"
"SA","HK","4"
"PT","SE","1"
"UA","HU","2"
"AE","SN","1"
"DK","NO","32"
"NL","MT","3"
"AT","MY","1"
"AT","RS","1"
"RU","AT","10"
"MO","TW","6"
