"Source","Target","flights_count"
"IS","NO","19"
"BE","SE","77"
"IN","UZ","2"
"FR","GR","81"
"QA","BE","12"
"ID","KR","1"
"ES","HK","6"
"LU","GR","1"
"LU","SA","2"
"TR","IN","20"
"PL","NO","38"
"IL","GB","9"
"CY","QA","1"
"CH","RO","11"
"BG","GR","3"
"IL","BG","3"
"XK","TR","2"
"HU","SI","2"
"MK","HR","1"
"DE","PT","276"
"DE","RU","366"
"GB","CY","21"
"AU","NL","3"
"CH","HR","19"
"JP","NZ","1"
"GB","CA","117"
"PL","DK","64"
"CH","GR","53"
"JP","AT","6"
"CN","PH","8"
"PT","GW","1"
"DE","EE","27"
"PH","IE","1"
"PH","GB","8"
"CA","BR","7"
"CA","BM","4"
"IN","AU","10"
"MT","LV","1"
"NP","KR","2"
"RU","DE","350"
"RU","AT","64"
"DE","DK","324"
"NL","BG","5"
"US","SA","11"
"JP","ID","8"
"PH","MO","18"
"HK","FI","5"
"UZ","KZ","3"
"GB","IT","857"
"HR","NL","11"
"JP","NL","10"
"ZA","AE","31"
"GB","GR","159"
"HU","GB","153"
"GB","SE","203"
"NL","TH","8"
"DK","LT","6"
"TR","BE","41"
"RO","PT","4"
"PL","IS","9"
"GW","SN","1"
"US","NZ","35"
"IT","CY","2"
"GB","AT","187"
"FI","UA","1"
"UA","SK","6"
"AR","FR","9"
"MA","PT","5"
"TW","FR","9"
"FR","IT","620"
"TR","RO","26"
"SE","US","32"
"BH","SA","86"
"AE","RO","15"
"IL","GR","5"
"LV","CH","8"
"IT","TR","79"
"LU","US","21"
"QA","FR","20"
"IT","JE","1"
"US","BB","27"
"IT","SA","7"
"SI","GB","15"
"FR","LU","32"
"AR","ES","43"
"BE","LB","3"
"GR","NL","18"
"RS","QA","1"
"RU","TW","1"
"FR","BH","7"
"EE","GB","18"
"IS","PL","8"
"JE","FR","3"
"AU","MO","5"
"TW","JP","269"
"KR","TH","24"
"SI","TR","3"
"LT","TR","1"
"SE","MK","2"
"RU","HU","44"
"DK","BG","1"
"LT","UA","3"
"SA","PK","4"
"SI","NL","8"
"AE","NZ","11"
"AR","SN","1"
"DE","SE","296"
"JP","CA","15"
"IT","UA","48"
"DK","NL","77"
"IE","JE","5"
"SE","BA","2"
