"Source","Target","flights_count"
"TR","LT","6"
"BR","PA","22"
"ES","DK","31"
"FR","QA","27"
"TR","UA","62"
"LV","LT","14"
"PH","FR","1"
"BH","HK","8"
"CH","LT","1"
"GB","SI","1"
"HK","SG","65"
"GR","DE","14"
"VN","CN","6"
"HU","BE","6"
"PA","PR","3"
"DE","MT","17"
"BY","PL","14"
"TH","AT","1"
"CH","RO","6"
"MA","IL","1"
"QA","IQ","8"
"DE","ES","605"
"IE","PL","9"
"SG","US","27"
"LU","TW","1"
"ID","QA","1"
"AE","HU","7"
"CH","SG","9"
"CN","QA","6"
"NO","PL","45"
"ML","IT","5"
"NZ","US","15"
"AT","GB","28"
"TR","MY","10"
"LV","MT","1"
"RS","RO","1"
"BG","CZ","2"
"AU","ZA","1"
"IN","AU","3"
"TR","PL","10"
"TR","JP","2"
"PT","ES","101"
"KR","SG","13"
"IT","NO","1"
"LU","CZ","1"
"RS","US","3"
"CY","UZ","1"
"DE","FR","232"
"BD","SA","22"
"CA","AE","6"
"US","SG","24"
"BR","CO","18"
"ZA","DE","9"
"IL","IT","7"
"TH","ES","1"
"LU","PT","31"
"ML","MA","1"
"AE","PT","4"
"KR","KZ","2"
"IL","IN","1"
"LC","PR","4"
"UZ","TR","6"
"AT","RS","19"
"NI","GT","1"
"BR","CA","2"
"HU","RU","5"
"TR","SI","3"
"BD","TH","1"
"NL","GR","12"
"AE","MY","14"
"CA","NI","1"
"IE","UA","1"
"IN","MO","1"
"EE","FR","2"
"FI","SG","1"
"PL","MT","1"
"UA","LV","4"
"US","BY","1"
"BN","AE","1"
"BE","JE","1"
"CO","DE","3"
"US","DK","22"
"AE","UA","31"
"AT","RO","12"
"TR","RS","23"
"AE","SA","46"
"KW","IN","20"
"NO","AT","4"
"CH","US","24"
"LU","IN","4"
"DK","IT","7"
"IE","DE","29"
"IN","NL","7"
"BD","SG","9"
"IE","LV","3"
"QA","KZ","2"
"MA","CH","1"
"RO","TR","19"
"IN","QA","87"
"NO","LT","7"
"CH","GB","84"
"HU","LB","1"
"RU","MY","1"
"ES","RU","20"
"GB","CA","30"
"HU","NL","16"
"IL","BE","21"
"CA","DE","37"
"IN","DK","1"
"AE","FR","28"
"SE","BE","17"
"DK","NL","28"
"GB","NO","18"
"TR","TH","1"
"LU","JE","1"
"BB","PA","1"
"ES","FR","251"
"AU","CN","6"
"FR","ZA","5"
"BY","AE","6"
"TH","AR","1"
"CH","BR","5"
"HK","NZ","5"
"MY","AU","28"
"PT","BM","2"
"IT","BH","1"
"DE","AT","174"
"US","NZ","17"
"PL","GB","84"
"SE","CZ","4"
"RS","QA","3"
"LV","TR","3"
"QA","AT","5"
"EE","AT","2"
"NI","BR","1"
"US","AR","3"
"MA","CA","1"
"GR","IT","7"
"AR","UY","2"
"IT","PT","28"
"GB","GG","22"
"QA","CZ","4"
"HK","MY","38"
"BE","DK","14"
"RU","AT","22"
"LU","PL","3"
"IT","DK","6"
"NL","PT","43"
"BY","FR","4"
"CA","QA","8"
"QA","RO","7"
"NZ","CA","1"
"BY","IT","7"
"JP","QA","7"
"LB","HR","1"
"DZ","IT","2"
"FI","JP","12"
"CH","JE","1"
"RO","ES","25"
"GB","SE","15"
"FI","UA","2"
"CY","SA","1"
"CA","PA","6"
"AE","IQ","10"
"ZA","QA","26"
"EG","HK","1"
"RU","BG","1"
"UZ","UA","1"
"GB","MX","2"
"QA","ZA","30"
"FI","PL","4"
"EE","BE","1"
"LU","NO","2"
"VC","US","7"
"PL","CZ","14"
"IL","PT","2"
"RS","BH","1"
"IT","KW","5"
"TH","SG","8"
"CZ","IL","1"
"BE","SE","21"
"LB","GB","5"
"ML","NL","1"
"CN","TR","2"
"EE","UA","2"
"US","IT","59"
"NL","RO","21"
"DE","CN","8"
"NL","FR","87"
"IT","MA","2"
"ES","DZ","4"
"RS","IL","2"
"FR","SK","2"
"FR","NL","82"
"TR","IE","9"
"CH","MT","3"
"PH","ID","1"
"BS","US","88"
"NL","KW","4"
"CA","IT","6"
"UA","HK","1"
"RO","HR","1"
"DE","CA","35"
"ES","CH","179"
"NL","DE","136"
"DE","BG","10"
"RU","CZ","8"
"AE","LB","37"
"FR","DK","28"
"BY","CY","2"
"GR","RO","3"
"PL","CY","1"
"BD","QA","23"
"GB","HK","20"
"MA","ML","2"
"PL","PT","6"
"QA","IE","4"
"HR","AT","8"
"HK","TW","133"
"CA","IN","17"
"NO","DK","39"
"FI","AE","1"
"BY","NL","6"
"LU","JP","1"
"LB","IN","1"
"ZA","GB","15"
"BD","KR","2"
"GR","QA","1"
"TW","JP","104"
"CH","CA","7"
"LB","TR","37"
"CA","BM","3"
"IQ","TR","2"
"DZ","ZA","1"
"LT","BY","11"
"TH","TW","15"
"RO","NL","21"
"NL","IT","99"
"TR","DZ","3"
"KZ","TR","19"
"IQ","LB","3"
"RU","JP","8"
"KR","HU","1"
"US","BB","11"
"QA","HR","2"
"FR","JP","17"
"FI","TR","6"
"CA","MA","2"
"NL","SE","31"
"BR","AE","8"
"LT","GR","1"
"IT","BY","7"
"FR","HK","2"
"DK","RS","3"
"GB","KZ","1"
"UA","DK","4"
"ID","JP","5"
"TR","MT","6"
"CO","CA","3"
"ES","CY","1"
"RU","MO","2"
"FR","PT","138"
"GB","KR","11"
"HU","UA","1"
"LV","GB","9"
"SA","FR","1"
"DE","HK","26"
"TR","BD","1"
"VC","MA","1"
"BR","PT","13"
"DK","RU","2"
"CH","DZ","1"
"IN","VN","1"
"RU","MA","1"
"FR","US","113"
"JE","GB","27"
"DE","LV","23"
"HK","BE","14"
"SN","GW","7"
"DE","ZA","10"
"TR","GR","9"
"GB","CY","8"
"FR","SE","26"
"GB","CN","3"
"LT","LV","14"
"KW","BH","27"
"RS","BY","5"
"PT","CV","7"
"FI","QA","7"
"HR","HU","3"
"AT","IE","1"
"IN","SG","59"
"PH","TW","9"
"GB","PT","6"
"AE","FI","2"
"BD","IN","27"
"NL","SA","3"
"LB","FR","13"
"DZ","PT","1"
"NZ","MY","5"
"FR","TR","43"
"IL","US","40"
"VC","CH","1"
"CY","CH","1"
"AE","BG","8"
"AE","US","52"
"IL","RS","1"
"MY","VN","9"
"CZ","EE","1"
"RS","DK","3"
"KR","PL","1"
"IT","FR","165"
"BH","LB","3"
"KZ","HK","8"
"LT","PT","1"
"BY","FI","5"
"TH","PH","5"
"DE","RO","51"
"PT","CH","99"
"PL","SE","47"
"DK","FR","25"
"DE","HU","45"
"PH","TH","7"
"IT","CZ","7"
"SN","TR","9"
"AE","HR","1"
"US","AU","53"
"GR","KW","1"
"ES","CA","5"
"SN","IT","5"
"SK","CH","3"
"QA","LB","24"
"JP","BE","12"
"SK","HU","2"
"JP","DE","24"
"LB","RU","1"
"KW","KR","3"
"GB","HR","2"
"CY","MT","1"
"PL","NO","36"
"HK","RU","14"
"BE","UA","1"
"DE","UA","49"
"RO","RS","1"
"HR","RU","1"
"EE","FI","17"
"HK","BH","2"
"IT","RU","30"
"PT","IL","1"
"TR","AT","31"
"HK","PH","35"
"IN","IT","5"
"PT","DZ","1"
"IT","JP","3"
"VC","DE","1"
"CZ","SK","11"
"MT","TR","5"
"JP","SG","53"
"TR","SN","10"
"RU","UZ","3"
"PT","CZ","5"
"LT","NO","5"
"VN","TH","19"
"RO","QA","7"
"GB","BD","1"
"BE","NO","7"
"DE","CY","11"
"SE","TR","22"
"TR","PH","7"
"CY","GB","7"
"NL","HU","14"
"GR","RU","2"
"SE","HR","1"
"CZ","BG","1"
"GT","CO","5"
"QA","GR","5"
"AT","EE","1"
"GT","US","138"
"NL","CH","38"
"BE","US","71"
"UA","IT","15"
"QA","DE","33"
"MT","DE","17"
"SG","ZA","5"
"DK","SG","3"
"TN","TR","2"
"SG","CH","9"
"LT","PL","15"
"KR","IN","4"
"TW","SG","43"
"KZ","CN","2"
"BE","HU","8"
"FR","RU","16"
"AE","KW","51"
"BE","RO","13"
"LT","MT","1"
"IL","PL","3"
"GB","ZA","12"
"IE","HU","3"
"KW","IQ","1"
"DE","AE","64"
"LV","SE","6"
"DE","PT","87"
"DK","BE","11"
"AU","SG","90"
"PA","NI","7"
"QA","FR","28"
"FR","PA","3"
"TW","CN","8"
"GB","BM","1"
"TR","TW","7"
"RU","VN","2"
"RU","BY","19"
"GR","US","1"
"RO","DK","5"
"RS","HR","10"
"BY","LT","12"
"VC","GB","1"
"NL","BE","32"
"FR","ES","240"
"AE","MA","9"
"AE","PK","12"
"CZ","LV","1"
"MA","ES","11"
"SG","TW","41"
"LT","GB","14"
"NL","AE","37"
"CN","RU","10"
"SK","SE","1"
"EE","NO","1"
"RO","SE","4"
"HU","AE","7"
"ML","FR","7"
"SE","SK","1"
"TR","NO","7"
"CH","SK","2"
"DE","JO","2"
"TR","IT","45"
"BD","TR","6"
"AR","FR","1"
"PL","AT","7"
"TR","UZ","1"
"BH","KR","2"
"LU","BH","3"
"AE","MO","1"
"BR","AR","5"
"RU","FI","11"
"CN","MY","18"
"FR","MX","3"
"BE","EE","1"
"JP","AE","15"
"MO","PH","2"
"ZA","BR","2"
"MX","FR","2"
"LU","AE","12"
"IE","PT","6"
"IE","RU","2"
"SE","NO","27"
"NZ","TW","4"
"CH","SA","1"
"RS","PL","2"
"GG","ES","1"
"DE","GB","286"
"AT","ES","34"
"DE","MX","8"
"SK","RU","2"
"JP","HK","108"
"CZ","MT","1"
"QA","JP","9"
"TR","KR","3"
"IT","LT","5"
"UA","HR","2"
"DZ","DE","1"
"US","NO","1"
"DK","US","37"
"US","PE","3"
"SG","QA","14"
"SE","IE","3"
"LB","DK","2"
"DE","UZ","1"
"PL","HR","5"
"BY","IL","4"
"HR","PL","4"
"HK","JP","86"
"HK","CA","5"
"TR","KW","29"
"QA","VN","12"
"NZ","JP","1"
"GG","GB","18"
"JP","RU","6"
"AE","ES","20"
"IL","DE","29"
"CY","QA","3"
"JP","KR","104"
"FR","CA","23"
"QA","NO","5"
"LU","TR","4"
"GG","JE","1"
"MT","GR","1"
"AU","US","40"
"JP","CA","17"
"IM","GB","8"
"PL","BE","21"
"SG","BN","10"
"CO","GT","3"
"ES","IE","13"
"FR","PL","31"
"NL","TW","11"
"QA","LU","21"
